class	lig_vol
Sterol	365.71
Sterol	373.74
Sterol	256.76
Sterol	496.84
Sterol	352.92
Sterol	366.68
Sterol	243.7
Sterol	241.28
Sterol	284.08
Sterol	373.02
Sterol	223.24
Sterol	369.32
Sterol	362.94
Sterol	312.38
Sterol	305.11
Sterol	306.47
Sterol	310.86
Sterol	320.88
Sterol	296.65
Sterol	261.01
Sterol	322.59
Sterol	327.91
Sterol	295.3
Sterol	355.38
Sterol	339.56
Sterol	479.94
Sterol	320.14
Sterol	338.2
Sterol	302.85
Sterol	372.91
Sterol	329.65
Sterol	303.06
Sterol	223.32
Sterol	399.23
Sterol	298.79
Sterol	348.16
Sterol	263.97
Sterol	336.49
Sterol	325.72
Sterol	244.43
Sterol	302.15
Sterol	325.24
Sterol	381
Sterol	297.56
Sterol	310.57
Sterol	452.06
Sterol	285.29
Sterol	322.65
Sterol	332.48
Sterol	335.44
Sterol	380.71
Sterol	365.18
Sterol	395.17
Sterol	360.19
Sterol	328.7
Sterol	275.71
Sterol	310.02
Sterol	345.83
Sterol	336.77
Sterol	290.75
Sterol	332.51
Sterol	317.64
Sterol	396.42
Sterol	259.81
Sterol	341.81
Sterol	394.7
Sterol	309.67
Sterol	301.56
Sterol	306.11
Sterol	289.6
Sterol	342.89
Sterol	336.72
Sterol	352.92
Sterol	341.36
Sterol	413.24
Sterol	314.04
Sterol	302.1
Sterol	308.23
Sterol	311.67
Sterol	270.85
Sterol	503.65
Sterol	313.13
Sterol	341.86
Sterol	364.75
Sterol	301.41
Sterol	352.68
Sterol	316.88
Sterol	287.63
Sterol	269.56
Sterol	232.97
Sterol	409.97
Sterol	402.42
Sterol	325.29
Sterol	364.05
Sterol	329.43
Sterol	342.96
Sterol	421.86
Sterol	456.53
Sterol	401.8
Sterol	285.02
Sterol	356.12
Sterol	540.31
Sterol	357.83
Sterol	235.3
Sterol	360.04
Sterol	402.77
Sterol	278.45
Sterol	301.2
Sterol	265.08
Sterol	391.57
Sterol	400.23
Sterol	428.38
Sterol	307.3
Sterol	305.73
Sterol	239.58
Sterol	259.23
Sterol	385.47
Sterol	268.3
Sterol	314.55
Sterol	376.31
Sterol	415.59
Sterol	323.56
Sterol	345.96
Sterol	293.34
Sterol	305.05
Sterol	298.84
Sterol	346.44
Sterol	400.54
Sterol	426.44
Sterol	291.62
Sterol	444.85
Sterol	325.67
Sterol	274.84
Sterol	337.54
Sterol	248.38
Sterol	344.5
Sterol	333.61
Sterol	290.45
Sterol	279.48
Sterol	386.58
Sterol	736.96
Sterol	355.67
Sterol	303.13
Sterol	480.52
Sterol	328.44
Sterol	353.86
Sterol	342.57
Sterol	274.73
Sterol	301.28
Sterol	386.18
Sterol	349.32
Sterol	302.02
Sterol	343.11
Sterol	295.45
Sterol	350.91
Sterol	331.34
Sterol	318.35
Sterol	368.77
Sterol	357.43
Sterol	301.35
Sterol	514.87
Sterol	366.43
Sterol	290.1
Sterol	362.98
Sterol	389.83
Sterol	348.01
Sterol	368.26
Sterol	323.03
Sterol	428.51
Sterol	409.95
Sterol	284.06
Sterol	292.25
Sterol	345.23
Sterol	313.68
Sterol	341.1
Sterol	318.7
Sterol	265.77
Sterol	286.58
Sterol	317.37
Sterol	351.7
Sterol	319.15
Sterol	333
Sterol	405.28
Sterol	326.16
Sterol	301.81
Sterol	333.95
Sterol	489.01
Sterol	336.76
Sterol	296.96
Sterol	307.16
Sterol	273.82
Sterol	273.68
Sterol	399.4
Sterol	337.46
Sterol	447.91
Sterol	341.62
Sterol	354.06
Sterol	309.45
Sterol	314.42
Sterol	281.25
Sterol	402.11
Sterol	433.2
Sterol	268.45
Sterol	233.46
Sterol	364.48
Sterol	233.41
Sterol	317.54
Sterol	310.91
Sterol	309.98
Sterol	326.01
Sterol	344.14
Sterol	337.29
Sterol	360.54
Sterol	271.03
Sterol	369.39
Sterol	382.63
Sterol	291.58
Sterol	373.81
Sterol	314.17
Sterol	332.99
Sterol	283.48
Sterol	234.43
Sterol	340.52
Sterol	368.09
Sterol	289.04
Sterol	403.26
Sterol	342.96
Sterol	345.89
Sterol	356.43
Sterol	265.69
Sterol	279.95
Sterol	445.55
Sterol	315.7
Sterol	315.81
Sterol	383.66
Sterol	453.1
Sterol	337.13
Sterol	317.19
Sterol	321.96
