class	GO_CC	lig_vol
Fatty Acyl	protein-containing complex [GO:0032991]	218.68
Fatty Acyl	extracellular region [GO:0005576]	218.68
Fatty Acyl	cytosol [GO:0005829]	59.5
Fatty Acyl	cytoplasm [GO:0005737]	59.5
Fatty Acyl	nucleoplasm [GO:0005654]	59.5
Fatty Acyl	nucleus [GO:0005634]	59.5
Fatty Acyl	membrane [GO:0016020]	47.27
Fatty Acyl	cytoplasm [GO:0005737]	47.27
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	387.67
Fatty Acyl	respiratory chain complex IV [GO:0045277]	387.67
Fatty Acyl	plasma membrane [GO:0005886]	199.71
Fatty Acyl	ATP-binding cassette (ABC) transporter complex [GO:0043190]	199.71
Fatty Acyl	plasma membrane protein complex [GO:0098797]	199.71
Fatty Acyl	cilium [GO:0005929]	229.85
Fatty Acyl	plasma membrane [GO:0005886]	229.85
Fatty Acyl	amylin receptor complex 3 [GO:0150058]	229.85
Fatty Acyl	amylin receptor complex 2 [GO:0150057]	229.85
Fatty Acyl	amylin receptor complex 1 [GO:0150056]	229.85
Fatty Acyl	axon [GO:0030424]	229.85
Fatty Acyl	acrosomal vesicle [GO:0001669]	229.85
Fatty Acyl	apical plasma membrane [GO:0016324]	141.69
Fatty Acyl	astrocyte projection [GO:0097449]	141.69
Fatty Acyl	cell surface [GO:0009986]	141.69
Fatty Acyl	plasma membrane [GO:0005886]	141.69
Fatty Acyl	voltage-gated potassium channel complex [GO:0008076]	141.69
Fatty Acyl	calyx of Held [GO:0044305]	141.69
Fatty Acyl	Schaffer collateral - CA1 synapse [GO:0098685]	141.69
Fatty Acyl	neuronal cell body [GO:0043025]	141.69
Fatty Acyl	axon [GO:0030424]	141.69
Fatty Acyl	axon terminus [GO:0043679]	141.69
Fatty Acyl	postsynapse [GO:0098794]	141.69
Fatty Acyl	endoplasmic reticulum [GO:0005783]	141.69
Fatty Acyl	extracellular exosome [GO:0070062]	178.19
Fatty Acyl	cytoplasm [GO:0005737]	178.19
Fatty Acyl	protein-containing complex [GO:0032991]	178.19
Fatty Acyl	blood microparticle [GO:0072562]	178.19
Fatty Acyl	Golgi apparatus [GO:0005794]	178.19
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	178.19
Fatty Acyl	extracellular region [GO:0005576]	178.19
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	178.19
Fatty Acyl	extracellular space [GO:0005615]	178.19
Fatty Acyl	nucleus [GO:0005634]	178.19
Fatty Acyl	endoplasmic reticulum [GO:0005783]	178.19
Fatty Acyl	plasma membrane [GO:0005886]	132.7
Fatty Acyl	extracellular space [GO:0005615]	56.99
Fatty Acyl	cytosol [GO:0005829]	221.44
Fatty Acyl	fascia adherens [GO:0005916]	221.44
Fatty Acyl	contractile fiber [GO:0043292]	221.44
Fatty Acyl	Golgi membrane [GO:0000139]	221.44
Fatty Acyl	intercalated disc [GO:0014704]	221.44
Fatty Acyl	connexin complex [GO:0005922]	221.44
Fatty Acyl	focal adhesion [GO:0005925]	221.44
Fatty Acyl	Golgi-associated vesicle membrane [GO:0030660]	221.44
Fatty Acyl	apical plasma membrane [GO:0016324]	221.44
Fatty Acyl	plasma membrane [GO:0005886]	221.44
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	221.44
Fatty Acyl	membrane raft [GO:0045121]	221.44
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	221.44
Fatty Acyl	lateral plasma membrane [GO:0016328]	221.44
Fatty Acyl	tight junction [GO:0070160]	221.44
Fatty Acyl	cytoplasm [GO:0005737]	221.44
Fatty Acyl	Golgi apparatus [GO:0005794]	221.44
Fatty Acyl	mitochondrion [GO:0005739]	221.44
Fatty Acyl	cell junction [GO:0030054]	221.44
Fatty Acyl	gap junction [GO:0005921]	221.44
Fatty Acyl	intermediate filament [GO:0005882]	221.44
Fatty Acyl	cell-cell contact zone [GO:0044291]	221.44
Fatty Acyl	nucleoplasm [GO:0005654]	221.44
Fatty Acyl	nucleus [GO:0005634]	221.44
Fatty Acyl	membrane [GO:0016020]	149.31
Fatty Acyl	cytoplasmic vesicle [GO:0031410]	247.51
Fatty Acyl	extracellular region [GO:0005576]	247.51
Fatty Acyl	sigma factor antagonist complex [GO:1903865]	212.33
Fatty Acyl	plasma membrane [GO:0005886]	212.33
Fatty Acyl	outer membrane-bounded periplasmic space [GO:0030288]	212.33
Fatty Acyl	extracellular region [GO:0005576]	47.68
Fatty Acyl	cytosol [GO:0005829]	47.68
Fatty Acyl	plasma membrane [GO:0005886]	47.68
Fatty Acyl	focal adhesion [GO:0005925]	89.9
Fatty Acyl	extracellular region [GO:0005576]	89.9
Fatty Acyl	extracellular exosome [GO:0070062]	89.9
Fatty Acyl	centrosome [GO:0005813]	89.9
Fatty Acyl	cell surface [GO:0009986]	89.9
Fatty Acyl	perinuclear region of cytoplasm [GO:0048471]	89.9
Fatty Acyl	plasma membrane [GO:0005886]	89.9
