class	GO_CC	lig_vol
Sphingolipid	nucleoplasm [GO:0005654]	291.97
Sphingolipid	early endosome membrane [GO:0031901]	291.97
Sphingolipid	nucleus [GO:0005634]	291.97
Sphingolipid	plasma membrane [GO:0005886]	1225.36
Sphingolipid	alpha-beta T cell receptor complex [GO:0042105]	1225.36
Sphingolipid	late endosome [GO:0005770]	1091.27
Sphingolipid	endoplasmic reticulum [GO:0005783]	1091.27
Sphingolipid	cytoplasm [GO:0005737]	1091.27
Sphingolipid	endosome membrane [GO:0010008]	1091.27
Sphingolipid	lysosome [GO:0005764]	1091.27
Sphingolipid	early endosome [GO:0005769]	1091.27
Sphingolipid	extracellular space [GO:0005615]	1091.27
Sphingolipid	external side of plasma membrane [GO:0009897]	1091.27
Sphingolipid	lysosomal membrane [GO:0005765]	1091.27
Sphingolipid	cell surface [GO:0009986]	1091.27
Sphingolipid	apical plasma membrane [GO:0016324]	356.74
Sphingolipid	astrocyte projection [GO:0097449]	356.74
Sphingolipid	cell surface [GO:0009986]	356.74
Sphingolipid	plasma membrane [GO:0005886]	356.74
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	356.74
Sphingolipid	calyx of Held [GO:0044305]	356.74
Sphingolipid	Schaffer collateral - CA1 synapse [GO:0098685]	356.74
Sphingolipid	neuronal cell body [GO:0043025]	356.74
Sphingolipid	axon [GO:0030424]	356.74
Sphingolipid	axon terminus [GO:0043679]	356.74
Sphingolipid	postsynapse [GO:0098794]	356.74
Sphingolipid	endoplasmic reticulum [GO:0005783]	356.74
Sphingolipid	apical plasma membrane [GO:0016324]	488.22
Sphingolipid	gap junction [GO:0005921]	488.22
Sphingolipid	plasma membrane [GO:0005886]	488.22
Sphingolipid	endoplasmic reticulum [GO:0005783]	488.22
Sphingolipid	cytosol [GO:0005829]	438.34
Sphingolipid	nucleoplasm [GO:0005654]	438.34
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	438.34
Sphingolipid	mitochondrion [GO:0005739]	438.34
Sphingolipid	Golgi apparatus [GO:0005794]	438.34
Sphingolipid	axon terminus [GO:0043679]	488.8
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	488.8
Sphingolipid	endoplasmic reticulum [GO:0005783]	488.8
Sphingolipid	cell surface [GO:0009986]	488.8
Sphingolipid	apical plasma membrane [GO:0016324]	488.8
