class	hydrophobicity_score
Sterol	72.09
Sterol	85.67
Sterol	83.67
Sterol	58.45
Sterol	34.4
Sterol	78.88
Sterol	51.4
Sterol	35.09
Sterol	35.8
Sterol	53.88
Sterol	61.2
Sterol	48.93
Sterol	53.13
Sterol	16.8
Sterol	61.2
Sterol	90.75
Sterol	29.4
Sterol	47.09
Sterol	67.5
Sterol	38.87
Sterol	36.8
Sterol	75.43
Sterol	34.4
Sterol	66.29
Sterol	47.27
Sterol	67.19
Sterol	40.69
Sterol	58.05
Sterol	63.2
Sterol	39.0
Sterol	72.83
Sterol	34.6
Sterol	21.0
Sterol	66.94
Sterol	68.8
Sterol	77.2
Sterol	59.93
Sterol	66.69
Sterol	20.83
Sterol	65.67
Sterol	65.56
Sterol	100.0
Sterol	34.6
Sterol	44.14
Sterol	62.0
Sterol	52.34
Sterol	67.55
Sterol	55.5
Sterol	25.91
Sterol	69.58
Sterol	62.0
Sterol	46.6
Sterol	60.62
Sterol	50.08
Sterol	32.76
Sterol	77.0
Sterol	60.36
Sterol	35.09
Sterol	44.0
Sterol	35.67
Sterol	47.25
Sterol	77.0
Sterol	36.0
Sterol	50.08
Sterol	53.28
Sterol	43.38
Sterol	56.0
Sterol	54.12
Sterol	65.0
Sterol	48.39
Sterol	58.5
Sterol	75.14
Sterol	63.15
Sterol	28.42
Sterol	35.08
Sterol	52.36
Sterol	20.83
Sterol	56.4
Sterol	74.83
Sterol	39.77
Sterol	44.92
Sterol	60.36
Sterol	36.33
Sterol	22.0
Sterol	57.8
Sterol	67.0
Sterol	52.0
Sterol	88.9
Sterol	78.88
Sterol	61.2
Sterol	71.88
Sterol	65.22
Sterol	31.4
Sterol	59.86
Sterol	36.33
Sterol	81.11
Sterol	-1.0
Sterol	2.33
Sterol	77.5
Sterol	76.12
Sterol	48.33
Sterol	48.44
Sterol	69.18
Sterol	68.43
Sterol	45.0
Sterol	75.33
Sterol	31.0
Sterol	51.56
Sterol	38.92
Sterol	53.5
Sterol	33.38
Sterol	61.03
Sterol	55.75
Sterol	61.2
Sterol	68.43
Sterol	63.29
Sterol	34.4
Sterol	72.38
Sterol	45.97
Sterol	25.8
Sterol	60.75
Sterol	71.75
Sterol	39.0
Sterol	65.45
Sterol	51.8
Sterol	41.68
Sterol	6.6
Sterol	57.23
Sterol	40.67
Sterol	9.78
Sterol	54.33
Sterol	56.52
Sterol	34.19
Sterol	34.44
Sterol	65.5
Sterol	36.62
Sterol	66.82
Sterol	59.11
Sterol	100.0
Sterol	33.2
Sterol	67.43
Sterol	35.09
Sterol	36.4
Sterol	45.13
Sterol	72.0
Sterol	75.4
Sterol	61.64
Sterol	30.33
Sterol	34.4
Sterol	30.07
Sterol	43.22
Sterol	50.2
Sterol	0.0
Sterol	77.12
Sterol	100.0
Sterol	34.4
Sterol	75.25
Sterol	34.78
Sterol	55.89
Sterol	48.31
Sterol	90.75
Sterol	62.07
Sterol	51.51
Sterol	98.0
Sterol	48.95
Sterol	65.7
Sterol	77.5
Sterol	43.54
Sterol	62.0
Sterol	0.0
Sterol	50.22
Sterol	74.33
Sterol	41.68
Sterol	29.4
Sterol	54.58
Sterol	55.75
Sterol	55.47
Sterol	64.8
Sterol	41.0
Sterol	87.56
Sterol	58.8
Sterol	80.78
Sterol	39.23
Sterol	62.92
Sterol	40.21
Sterol	63.3
Sterol	84.15
Sterol	61.44
Sterol	56.73
Sterol	31.75
Sterol	16.0
Sterol	35.8
Sterol	67.36
Sterol	44.0
Sterol	63.25
Sterol	51.4
Sterol	13.12
Sterol	85.67
Sterol	58.54
Sterol	57.1
Sterol	39.52
Sterol	21.22
Sterol	42.65
Sterol	64.35
Sterol	71.22
Sterol	-11.5
Sterol	43.88
Sterol	71.64
Sterol	58.82
Sterol	44.14
Sterol	55.74
Sterol	90.75
Sterol	58.62
Sterol	56.7
Sterol	51.5
Sterol	68.2
Sterol	68.38
Sterol	64.73
Sterol	85.67
Sterol	71.71
Sterol	39.11
Sterol	16.8
Sterol	53.57
Sterol	81.25
Sterol	44.1
Sterol	77.88
Sterol	91.33
Sterol	46.83
Sterol	44.14
Sterol	72.0
Sterol	37.7
Sterol	67.06
Sterol	64.25
Sterol	97.0
Sterol	70.24
Sterol	90.75
Sterol	93.78
Sterol	31.29
Sterol	58.36
Sterol	44.0
Sterol	48.0
Sterol	76.57
Sterol	83.25
Sterol	73.57
Sterol	75.71
Sterol	69.0
Sterol	48.31
Sterol	76.5
Sterol	25.71
Sterol	52.0
Sterol	63.69
Sterol	51.92
Sterol	55.0
Sterol	57.78
Sterol	75.71
Sterol	62.83
Sterol	44.84
Sterol	62.0
Sterol	76.29
Sterol	34.8
Sterol	19.09
Sterol	57.56
Sterol	27.88
Sterol	34.4
Sterol	10.33
Sterol	60.97
Sterol	40.75
Sterol	36.12
Sterol	85.25
Sterol	46.17
Sterol	75.6
Sterol	52.4
Sterol	27.88
Sterol	67.29
Sterol	63.15
Sterol	86.8
Sterol	55.28
Sterol	46.15
Sterol	0.0
Sterol	65.9
Sterol	97.0
Sterol	42.25
Sterol	50.29
Sterol	30.44
Sterol	39.69
Sterol	-26.33
Sterol	38.91
Sterol	50.29
Sterol	72.8
Sterol	16.8
Sterol	50.0
Sterol	50.62
Sterol	16.4
Sterol	57.54
Sterol	80.78
Sterol	70.67
Sterol	26.0
Sterol	88.0
Sterol	58.5
Sterol	40.33
Sterol	56.17
Sterol	20.0
Sterol	71.75
Sterol	69.57
Sterol	43.07
Sterol	46.0
Sterol	64.86
Sterol	85.67
Sterol	80.71
Sterol	47.94
Sterol	54.64
Sterol	47.64
Sterol	61.57
Sterol	97.0
Sterol	32.76
Sterol	31.4
Sterol	48.67
Sterol	56.5
Sterol	65.89
Sterol	87.75
Sterol	55.26
Sterol	71.71
Sterol	66.25
Sterol	12.33
Sterol	38.25
Sterol	53.0
Sterol	58.5
Sterol	67.57
Sterol	67.76
Sterol	19.2
Sterol	75.53
Sterol	53.29
Sterol	59.5
Sterol	32.17
Sterol	35.09
Sterol	39.76
Sterol	66.97
Sterol	86.12
Sterol	53.5
Sterol	53.5
Sterol	38.83
Sterol	36.4
Sterol	73.0
Sterol	69.9
Sterol	47.0
Sterol	51.31
Sterol	51.0
Sterol	71.12
Sterol	62.74
Sterol	47.71
