class	GO_CC	hydrophobicity_score
Sphingolipid	postsynapse [GO:0098794]	55.61
Sphingolipid	membrane [GO:0016020]	65.86
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	65.86
Sphingolipid	endoplasmic reticulum [GO:0005783]	65.86
Sphingolipid	vacuole [GO:0005773]	65.86
Sphingolipid	endocytic vesicle lumen [GO:0071682]	25.4
Sphingolipid	cytosol [GO:0005829]	25.4
Sphingolipid	extracellular exosome [GO:0070062]	25.4
Sphingolipid	membrane [GO:0016020]	25.4
Sphingolipid	blood microparticle [GO:0072562]	25.4
Sphingolipid	extracellular region [GO:0005576]	25.4
Sphingolipid	extracellular space [GO:0005615]	25.4
Sphingolipid	hemoglobin complex [GO:0005833]	25.4
Sphingolipid	haptoglobin-hemoglobin complex [GO:0031838]	25.4
Sphingolipid	late endosome [GO:0005770]	57.75
Sphingolipid	endoplasmic reticulum [GO:0005783]	57.75
Sphingolipid	cytoplasm [GO:0005737]	57.75
Sphingolipid	endosome membrane [GO:0010008]	57.75
Sphingolipid	lysosome [GO:0005764]	57.75
Sphingolipid	early endosome [GO:0005769]	57.75
Sphingolipid	extracellular space [GO:0005615]	57.75
Sphingolipid	external side of plasma membrane [GO:0009897]	57.75
Sphingolipid	lysosomal membrane [GO:0005765]	57.75
Sphingolipid	cell surface [GO:0009986]	57.75
Sphingolipid	recycling endosome [GO:0055037]	27.59
Sphingolipid	endosome [GO:0005768]	27.59
Sphingolipid	Golgi membrane [GO:0000139]	27.59
Sphingolipid	plasma membrane [GO:0005886]	27.59
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	27.59
Sphingolipid	mitochondrion [GO:0005739]	27.59
Sphingolipid	external side of plasma membrane [GO:0009897]	27.59
Sphingolipid	Golgi apparatus [GO:0005794]	27.59
Sphingolipid	very-low-density lipoprotein particle [GO:0034361]	62.15
Sphingolipid	low-density lipoprotein particle [GO:0034362]	62.15
Sphingolipid	spherical high-density lipoprotein particle [GO:0034366]	62.15
Sphingolipid	extracellular region [GO:0005576]	62.15
Sphingolipid	high-density lipoprotein particle [GO:0034364]	62.15
Sphingolipid	discoidal high-density lipoprotein particle [GO:0034365]	62.15
Sphingolipid	plasma membrane [GO:0005886]	41.03
Sphingolipid	membrane [GO:0016020]	41.03
Sphingolipid	endosome membrane [GO:0010008]	41.03
Sphingolipid	voltage-gated sodium channel complex [GO:0001518]	62.72
Sphingolipid	axon [GO:0030424]	62.72
Sphingolipid	plasma membrane [GO:0005886]	62.72
Sphingolipid	voltage-gated calcium channel complex [GO:0005891]	62.72
Sphingolipid	endosome membrane [GO:0010008]	0.0
Sphingolipid	cytosol [GO:0005829]	0.0
Sphingolipid	plasma membrane [GO:0005886]	0.0
Sphingolipid	nuclear outer membrane [GO:0005640]	0.0
Sphingolipid	Golgi apparatus [GO:0005794]	0.0
Sphingolipid	endosome membrane [GO:0010008]	86.5
Sphingolipid	cytosol [GO:0005829]	86.5
Sphingolipid	plasma membrane [GO:0005886]	86.5
Sphingolipid	nuclear outer membrane [GO:0005640]	86.5
Sphingolipid	Golgi apparatus [GO:0005794]	86.5
Sphingolipid	cytoplasm [GO:0005737]	46.0
Sphingolipid	apical plasma membrane [GO:0016324]	59.43
Sphingolipid	gap junction [GO:0005921]	59.43
Sphingolipid	plasma membrane [GO:0005886]	59.43
Sphingolipid	endoplasmic reticulum [GO:0005783]	59.43
Sphingolipid	late endosome [GO:0005770]	59.62
Sphingolipid	endoplasmic reticulum [GO:0005783]	59.62
Sphingolipid	cytoplasm [GO:0005737]	59.62
Sphingolipid	endosome membrane [GO:0010008]	59.62
Sphingolipid	lysosome [GO:0005764]	59.62
Sphingolipid	early endosome [GO:0005769]	59.62
Sphingolipid	extracellular space [GO:0005615]	59.62
Sphingolipid	external side of plasma membrane [GO:0009897]	59.62
Sphingolipid	lysosomal membrane [GO:0005765]	59.62
Sphingolipid	cell surface [GO:0009986]	59.62
Sphingolipid	membrane [GO:0016020]	50.81
Sphingolipid	cytosol [GO:0005829]	50.81
Sphingolipid	endoplasmic reticulum [GO:0005783]	50.81
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	50.81
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	45.1
Sphingolipid	endoplasmic reticulum [GO:0005783]	45.1
Sphingolipid	membrane raft [GO:0045121]	50.76
Sphingolipid	endosome [GO:0005768]	50.76
Sphingolipid	intracellular membrane-bounded organelle [GO:0043231]	50.76
Sphingolipid	nucleoplasm [GO:0005654]	50.76
Sphingolipid	plasma membrane [GO:0005886]	50.76
Sphingolipid	external side of plasma membrane [GO:0009897]	50.76
Sphingolipid	cytoplasm [GO:0005737]	50.76
Sphingolipid	late endosome [GO:0005770]	58.4
Sphingolipid	endoplasmic reticulum [GO:0005783]	58.4
Sphingolipid	cytoplasm [GO:0005737]	58.4
Sphingolipid	endosome membrane [GO:0010008]	58.4
Sphingolipid	lysosome [GO:0005764]	58.4
Sphingolipid	early endosome [GO:0005769]	58.4
Sphingolipid	extracellular space [GO:0005615]	58.4
Sphingolipid	external side of plasma membrane [GO:0009897]	58.4
Sphingolipid	lysosomal membrane [GO:0005765]	58.4
Sphingolipid	cell surface [GO:0009986]	58.4
Sphingolipid	endocytic vesicle lumen [GO:0071682]	28.2
Sphingolipid	cytosol [GO:0005829]	28.2
Sphingolipid	extracellular exosome [GO:0070062]	28.2
Sphingolipid	membrane [GO:0016020]	28.2
Sphingolipid	blood microparticle [GO:0072562]	28.2
Sphingolipid	extracellular region [GO:0005576]	28.2
Sphingolipid	extracellular space [GO:0005615]	28.2
Sphingolipid	hemoglobin complex [GO:0005833]	28.2
Sphingolipid	haptoglobin-hemoglobin complex [GO:0031838]	28.2
Sphingolipid	very-low-density lipoprotein particle [GO:0034361]	64.27
Sphingolipid	low-density lipoprotein particle [GO:0034362]	64.27
Sphingolipid	spherical high-density lipoprotein particle [GO:0034366]	64.27
Sphingolipid	extracellular region [GO:0005576]	64.27
Sphingolipid	high-density lipoprotein particle [GO:0034364]	64.27
Sphingolipid	discoidal high-density lipoprotein particle [GO:0034365]	64.27
Sphingolipid	plasma membrane [GO:0005886]	53.26
Sphingolipid	cytoplasm [GO:0005737]	53.26
Sphingolipid	late endosome [GO:0005770]	60.04
Sphingolipid	endoplasmic reticulum [GO:0005783]	60.04
Sphingolipid	cytoplasm [GO:0005737]	60.04
Sphingolipid	endosome membrane [GO:0010008]	60.04
Sphingolipid	lysosome [GO:0005764]	60.04
Sphingolipid	early endosome [GO:0005769]	60.04
Sphingolipid	extracellular space [GO:0005615]	60.04
Sphingolipid	external side of plasma membrane [GO:0009897]	60.04
Sphingolipid	lysosomal membrane [GO:0005765]	60.04
Sphingolipid	cell surface [GO:0009986]	60.04
Sphingolipid	membrane [GO:0016020]	82.56
Sphingolipid	serine C-palmitoyltransferase complex [GO:0017059]	82.56
Sphingolipid	SPOTS complex [GO:0035339]	82.56
Sphingolipid	endoplasmic reticulum [GO:0005783]	82.56
Sphingolipid	membrane [GO:0016020]	46.88
Sphingolipid	host cell cytoplasmic vesicle membrane [GO:0044162]	46.88
Sphingolipid	T=pseudo3 icosahedral viral capsid [GO:0039618]	46.88
Sphingolipid	host cell nucleus [GO:0042025]	46.88
Sphingolipid	endosome membrane [GO:0010008]	52.21
Sphingolipid	cytosol [GO:0005829]	52.21
Sphingolipid	plasma membrane [GO:0005886]	52.21
Sphingolipid	nuclear outer membrane [GO:0005640]	52.21
Sphingolipid	Golgi apparatus [GO:0005794]	52.21
Sphingolipid	endosome membrane [GO:0010008]	32.22
Sphingolipid	cytosol [GO:0005829]	32.22
Sphingolipid	plasma membrane [GO:0005886]	32.22
Sphingolipid	nuclear outer membrane [GO:0005640]	32.22
Sphingolipid	Golgi apparatus [GO:0005794]	32.22
Sphingolipid	clathrin-coated pit [GO:0005905]	50.6
Sphingolipid	membrane [GO:0016020]	50.6
Sphingolipid	cytosol [GO:0005829]	50.6
Sphingolipid	endocytic vesicle [GO:0030139]	50.6
Sphingolipid	cytoplasm [GO:0005737]	50.6
Sphingolipid	plasma membrane [GO:0005886]	50.6
Sphingolipid	intracellular membrane-bounded organelle [GO:0043231]	50.6
Sphingolipid	presynapse [GO:0098793]	50.6
Sphingolipid	nucleoplasm [GO:0005654]	50.6
Sphingolipid	early endosome membrane [GO:0031901]	50.6
Sphingolipid	nucleus [GO:0005634]	50.6
