class	GO_CC	hydrophobicity_score
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	57.07
Glycerophospholipid	membrane [GO:0016020]	51.19
Glycerophospholipid	Z disc [GO:0030018]	51.19
Glycerophospholipid	ankyrin-1 complex [GO:0170014]	51.19
Glycerophospholipid	extracellular exosome [GO:0070062]	51.19
Glycerophospholipid	plasma membrane [GO:0005886]	51.19
Glycerophospholipid	basolateral plasma membrane [GO:0016323]	51.19
Glycerophospholipid	blood microparticle [GO:0072562]	51.19
Glycerophospholipid	cytoplasmic side of plasma membrane [GO:0009898]	51.19
Glycerophospholipid	cortical cytoskeleton [GO:0030863]	51.19
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	38.76
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	38.76
Glycerophospholipid	plasma membrane [GO:0005886]	68.0
Glycerophospholipid	dendrite [GO:0030425]	68.0
Glycerophospholipid	calcium channel complex [GO:0034704]	68.0
Glycerophospholipid	growth cone [GO:0030426]	68.0
Glycerophospholipid	cation channel complex [GO:0034703]	68.0
Glycerophospholipid	neuronal cell body [GO:0043025]	68.0
Glycerophospholipid	mitochondrion [GO:0005739]	17.57
Glycerophospholipid	mitochondrial matrix [GO:0005759]	17.57
Glycerophospholipid	photosystem II [GO:0009523]	68.5
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	68.5
Glycerophospholipid	organelle inner membrane [GO:0019866]	57.17
Glycerophospholipid	plasma membrane [GO:0005886]	57.17
Glycerophospholipid	plasma membrane light-harvesting complex [GO:0030077]	57.17
Glycerophospholipid	photosystem II reaction center [GO:0009539]	56.75
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	56.75
Glycerophospholipid	photosystem II reaction center [GO:0009539]	56.75
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	56.75
Glycerophospholipid	plasma membrane [GO:0005886]	0.0
Glycerophospholipid	tertiary granule membrane [GO:0070821]	40.74
Glycerophospholipid	specific granule membrane [GO:0035579]	40.74
Glycerophospholipid	nuclear envelope [GO:0005635]	40.74
Glycerophospholipid	plasma membrane [GO:0005886]	40.74
Glycerophospholipid	NADPH oxidase complex [GO:0043020]	40.74
Glycerophospholipid	dendrite [GO:0030425]	40.74
Glycerophospholipid	perinuclear endoplasmic reticulum [GO:0097038]	40.74
Glycerophospholipid	endoplasmic reticulum membrane [GO:0005789]	40.74
Glycerophospholipid	phagocytic vesicle membrane [GO:0030670]	40.74
Glycerophospholipid	neuronal cell body [GO:0043025]	40.74
Glycerophospholipid	monoatomic ion channel complex [GO:0034702]	40.74
Glycerophospholipid	membrane [GO:0016020]	9.5
Glycerophospholipid	plastid [GO:0009536]	9.5
Glycerophospholipid	light-harvesting complex [GO:0030076]	9.5
Glycerophospholipid	membrane [GO:0016020]	60.44
Glycerophospholipid	cell surface [GO:0009986]	60.44
Glycerophospholipid	plasma membrane [GO:0005886]	60.44
Glycerophospholipid	lysosomal membrane [GO:0005765]	60.44
Glycerophospholipid	monoatomic ion channel complex [GO:0034702]	60.44
Glycerophospholipid	membrane [GO:0016020]	48.29
Glycerophospholipid	plasma membrane respiratory chain complex I [GO:0045272]	48.29
Glycerophospholipid	respiratory chain complex I [GO:0045271]	48.29
Glycerophospholipid	plasma membrane [GO:0005886]	48.29
Glycerophospholipid	NADH dehydrogenase complex [GO:0030964]	48.29
Glycerophospholipid	mitochondrion [GO:0005739]	55.07
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	55.07
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	55.07
Glycerophospholipid	transmembrane transporter complex [GO:1902495]	78.73
Glycerophospholipid	plasma membrane [GO:0005886]	78.73
Glycerophospholipid	plasma membrane [GO:0005886]	48.2
Glycerophospholipid	cortical endoplasmic reticulum [GO:0032541]	48.2
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	50.33
Glycerophospholipid	mitochondrial respiratory chain complex IV [GO:0005751]	50.33
Glycerophospholipid	photosystem II [GO:0009523]	69.14
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	69.14
Glycerophospholipid	photosystem I [GO:0009522]	69.14
Glycerophospholipid	photosystem II [GO:0009523]	41.29
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	41.29
Glycerophospholipid	photosystem I [GO:0009522]	41.29
Glycerophospholipid	plasma membrane [GO:0005886]	56.21
Glycerophospholipid	voltage-gated sodium channel complex [GO:0001518]	56.21
Glycerophospholipid	axon [GO:0030424]	56.21
