class	GO_CC	hydrophobicity_score
Polyketide	filamentous actin [GO:0031941]	0.58
Polyketide	actin filament bundle [GO:0032432]	0.58
Polyketide	lamellipodium [GO:0030027]	0.58
Polyketide	striated muscle thin filament [GO:0005865]	0.58
Polyketide	cytoplasm [GO:0005737]	0.58
Polyketide	filopodium [GO:0030175]	0.58
Polyketide	host cell nucleus [GO:0042025]	44.9
Polyketide	host cell plasma membrane [GO:0020002]	44.9
Polyketide	membrane [GO:0016020]	44.9
Polyketide	viral nucleocapsid [GO:0019013]	44.9
Polyketide	host multivesicular body [GO:0072494]	44.9
Polyketide	virion membrane [GO:0055036]	44.9
Polyketide	nucleus [GO:0005634]	62.94
Polyketide	cytoplasm [GO:0005737]	62.94
Polyketide	host cell nucleus [GO:0042025]	43.84
Polyketide	protein-containing complex [GO:0032991]	43.84
Polyketide	host cell plasma membrane [GO:0020002]	43.84
Polyketide	host cell lipid droplet [GO:0044186]	43.84
Polyketide	viral envelope [GO:0019031]	43.84
Polyketide	host cell endoplasmic reticulum membrane [GO:0044167]	43.84
Polyketide	host cell mitochondrial membrane [GO:0044191]	43.84
Polyketide	ribonucleoprotein complex [GO:1990904]	43.84
Polyketide	membrane [GO:0016020]	43.84
Polyketide	viral nucleocapsid [GO:0019013]	43.84
Polyketide	virion membrane [GO:0055036]	43.84
Polyketide	host cell perinuclear region of cytoplasm [GO:0044220]	43.84
Polyketide	nuclear chromosome [GO:0000228]	20.14
Polyketide	histone deacetylase complex [GO:0000118]	20.14
Polyketide	cytoplasm [GO:0005737]	20.14
Polyketide	nucleoplasm [GO:0005654]	20.14
Polyketide	nucleus [GO:0005634]	20.14
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	63.73
Polyketide	endoplasmic reticulum membrane [GO:0005789]	63.73
Polyketide	cytoplasm [GO:0005737]	63.73
Polyketide	cytoplasmic microtubule [GO:0005881]	63.73
Polyketide	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]	15.71
Polyketide	protein-containing complex [GO:0032991]	15.71
Polyketide	endoplasmic reticulum [GO:0005783]	15.71
Polyketide	sorting endosome [GO:0097443]	15.71
Polyketide	endosome lumen [GO:0031904]	15.71
Polyketide	early endosome [GO:0005769]	15.71
Polyketide	cytosol [GO:0005829]	15.71
Polyketide	mitochondrial crista [GO:0030061]	15.71
Polyketide	mitochondrial matrix [GO:0005759]	15.71
Polyketide	cytoplasm [GO:0005737]	15.71
Polyketide	mitochondrial respiratory chain complex I [GO:0005747]	36.2
Polyketide	mitochondrial inner membrane [GO:0005743]	36.2
Polyketide	cell body [GO:0044297]	18.32
Polyketide	actin filament [GO:0005884]	18.32
Polyketide	skeletal muscle myofibril [GO:0098723]	18.32
Polyketide	stress fiber [GO:0001725]	18.32
