class	GO_CC	hydrophobicity_score
Glycerolipid	respiratory chain complex IV [GO:0045277]	50.11
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	50.11
Glycerolipid	plasma membrane [GO:0005886]	0.0
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	41.8
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	41.8
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	42.0
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	42.0
Glycerolipid	periplasmic space [GO:0042597]	49.2
Glycerolipid	periplasmic space [GO:0042597]	50.83
Glycerolipid	periplasmic space [GO:0042597]	39.71
Glycerolipid	bicellular tight junction [GO:0005923]	57.76
Glycerolipid	plasma membrane [GO:0005886]	57.76
Glycerolipid	lateral plasma membrane [GO:0016328]	57.76
Glycerolipid	bicellular tight junction [GO:0005923]	52.75
Glycerolipid	plasma membrane [GO:0005886]	52.75
Glycerolipid	lateral plasma membrane [GO:0016328]	52.75
Glycerolipid	photosystem II [GO:0009523]	46.31
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	46.31
Glycerolipid	photosystem II [GO:0009523]	46.31
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	46.31
Glycerolipid	photosystem II [GO:0009523]	45.73
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	45.73
Glycerolipid	photosystem II [GO:0009523]	45.73
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	45.73
Glycerolipid	photosystem II [GO:0009523]	45.73
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	45.73
Glycerolipid	photosystem II [GO:0009523]	45.73
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	45.73
Glycerolipid	respiratory chain complex IV [GO:0045277]	53.14
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	53.14
Glycerolipid	photosystem II [GO:0009523]	46.31
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	46.31
Glycerolipid	photosystem II [GO:0009523]	46.31
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	46.31
Glycerolipid	photosystem II [GO:0009523]	71.67
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	71.67
Glycerolipid	photosystem II [GO:0009523]	71.67
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	71.67
Glycerolipid	photosystem II [GO:0009523]	46.82
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	46.82
Glycerolipid	photosystem II [GO:0009523]	46.82
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	46.82
Glycerolipid	photosystem II [GO:0009523]	51.17
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	51.17
Glycerolipid	photosystem II [GO:0009523]	51.17
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	51.17
Glycerolipid	photosystem II [GO:0009523]	56.25
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	56.25
Glycerolipid	photosystem II [GO:0009523]	56.25
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	56.25
Glycerolipid	photosystem II [GO:0009523]	27.0
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	27.0
Glycerolipid	photosystem II [GO:0009523]	45.25
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	45.25
Glycerolipid	photosystem II [GO:0009523]	31.67
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	31.67
Glycerolipid	nucleoplasm [GO:0005654]	38.58
Glycerolipid	respiratory chain complex IV [GO:0045277]	38.58
Glycerolipid	cytosol [GO:0005829]	38.58
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	38.58
Glycerolipid	photosystem II [GO:0009523]	18.6
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	18.6
Glycerolipid	photosystem II reaction center [GO:0009539]	43.43
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	43.43
Glycerolipid	photosystem II reaction center [GO:0009539]	43.43
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	43.43
Glycerolipid	photosystem II reaction center [GO:0009539]	78.5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	78.5
Glycerolipid	photosystem II reaction center [GO:0009539]	78.5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	78.5
Glycerolipid	photosystem II reaction center [GO:0009539]	73.17
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	73.17
Glycerolipid	photosystem II reaction center [GO:0009539]	73.17
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	73.17
Glycerolipid	photosystem II reaction center [GO:0009539]	73.17
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	73.17
Glycerolipid	photosystem II reaction center [GO:0009539]	73.17
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	73.17
Glycerolipid	photosystem II reaction center [GO:0009539]	-29.33
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	-29.33
Glycerolipid	photosystem II reaction center [GO:0009539]	-29.33
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	-29.33
Glycerolipid	photosystem II reaction center [GO:0009539]	-29.33
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	-29.33
Glycerolipid	photosystem II reaction center [GO:0009539]	-29.33
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	-29.33
Glycerolipid	photosystem II reaction center [GO:0009539]	-9.0
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	-9.0
Glycerolipid	photosystem II reaction center [GO:0009539]	-9.0
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	-9.0
Glycerolipid	photosystem II reaction center [GO:0009539]	-9.0
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	-9.0
Glycerolipid	photosystem II reaction center [GO:0009539]	-9.0
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	-9.0
Glycerolipid	photosystem II reaction center [GO:0009539]	73.17
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	73.17
Glycerolipid	photosystem II reaction center [GO:0009539]	73.17
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	73.17
Glycerolipid	photosystem II reaction center [GO:0009539]	73.17
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	73.17
Glycerolipid	photosystem II reaction center [GO:0009539]	73.17
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	73.17
Glycerolipid	photosystem II reaction center [GO:0009539]	55.25
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	55.25
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	49.06
Glycerolipid	respiratory chain complex IV [GO:0045277]	49.06
Glycerolipid	host cell cytoplasm [GO:0030430]	60.12
Glycerolipid	host cell cytoplasm [GO:0030430]	0.0
Glycerolipid	host cell cytoplasm [GO:0030430]	43.05
Glycerolipid	host cell cytoplasm [GO:0030430]	0.0
Glycerolipid	host cell cytoplasm [GO:0030430]	53.67
Glycerolipid	photosystem II [GO:0009523]	49.36
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	49.36
Glycerolipid	photosystem II [GO:0009523]	49.36
