class	GO_CC	hydrophobicity_score
Prenol	photosystem I [GO:0009522]	0.0
Prenol	plasma membrane [GO:0005886]	48.07
Prenol	photosystem II [GO:0009523]	91.4
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	91.4
Prenol	nucleoplasm [GO:0005654]	61.65
Prenol	nucleus [GO:0005634]	61.65
Prenol	photosystem I [GO:0009522]	81.5
Prenol	photosystem I [GO:0009522]	81.5
Prenol	photosystem II reaction center [GO:0009539]	82.18
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	82.18
Prenol	photosystem II reaction center [GO:0009539]	82.18
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	82.18
Prenol	chloroplast thylakoid membrane [GO:0009535]	52.17
Prenol	photosystem I [GO:0009522]	52.17
Prenol	photosystem II [GO:0009523]	52.17
Prenol	chloroplast thylakoid membrane [GO:0009535]	52.17
Prenol	photosystem I [GO:0009522]	52.17
Prenol	mitochondrial respiratory chain complex III [GO:0005750]	72.25
Prenol	plasma membrane [GO:0005886]	60.3
Prenol	plasma membrane light-harvesting complex [GO:0030077]	60.3
Prenol	sperm head plasma membrane [GO:1990913]	40.75
Prenol	photoreceptor outer segment membrane [GO:0042622]	40.75
Prenol	cell-cell junction [GO:0005911]	40.75
Prenol	Golgi membrane [GO:0000139]	40.75
Prenol	photoreceptor disc membrane [GO:0097381]	40.75
Prenol	plasma membrane [GO:0005886]	40.75
Prenol	membrane [GO:0016020]	40.75
Prenol	photoreceptor outer segment [GO:0001750]	40.75
Prenol	rod photoreceptor outer segment [GO:0120200]	40.75
Prenol	photoreceptor inner segment membrane [GO:0060342]	40.75
Prenol	outer membrane [GO:0019867]	40.75
Prenol	G protein-coupled receptor complex [GO:0097648]	40.75
Prenol	sperm midpiece [GO:0097225]	40.75
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	0.0
Prenol	photosystem I [GO:0009522]	0.0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	82.92
Prenol	plasma membrane-derived photosystem I [GO:0030094]	82.92
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	82.92
Prenol	plasma membrane-derived photosystem I [GO:0030094]	82.92
Prenol	photosystem II [GO:0009523]	37.91
Prenol	chloroplast thylakoid membrane [GO:0009535]	37.91
Prenol	photosystem I [GO:0009522]	37.91
Prenol	plasma membrane light-harvesting complex [GO:0030077]	53.97
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	53.97
Prenol	cytosol [GO:0005829]	67.68
Prenol	extracellular exosome [GO:0070062]	67.68
Prenol	nucleoplasm [GO:0005654]	67.68
Prenol	nucleus [GO:0005634]	67.68
Prenol	cytoplasm [GO:0005737]	67.68
