LeidenCluster	LC00	LC01	LC02	LC03	LC04	LC05	LC06	LC07	LC08	LC09	LC10	LC11	LC12	LC13	LC14	LC15	LC16	LC17	LC18	LC19	LC20	LC21	LC22	LC23	LC24	LC25	LC26	LC27	LC28	LC29	LC30	LC31	LC32	LC33	LC34	LC35	LC36	LC37	LC38	LC39	LC40	LC41	LC42	LC43	LC44	LC45	LC46	LC47	LC48	LC49	LC50	LC51	LC52	LC53	LC54	LC55	LC56	LC57	LC58	LC59	LC60	LC61	LC62	LC63	LC64	LC65	LC66	LC67
LC23	0.00020826523917451988	0.0	0.0	6.230379135474523e-06	0.0	0.00021740862056130424	0.0	4.349117520447697e-05	0.0	0.00013424012304143033	0.0004660434758559655	5.96064669758115e-05	0.0	0.0	5.365697860108592e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001777421859833042	0.7263756298402118	0.0	0.0	0.0	0.0	0.00022622055308979175	0.0	0.0001777488275143304	0.0	0.0	0.0	0.0	0.0	0.0	0.000159779256614186	0.0	0.0	0.0031797946461312797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.998792562183048e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC24	0.004180110869007946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8656191489361702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC25	0.016082474251846095	0.12502580063934904	0.6695330836124331	0.002491492918961448	0.000163059061866916	0.001136805723987388	0.010409504282850373	0.0	0.06290745175376813	0.00044383025367992487	0.0029086982639514626	2.7276439363005306e-05	0.08870676378772113	0.011688713545292799	0.0	0.03332359212684527	0.02594899365867108	0.015041170202460525	0.8134363618427544	0.8168453337390951	0.0	0.03630561880666245	0.0	0.0009826572979878634	0.0	0.8757199791883454	0.0	0.12433996617131812	0.05494617476208133	0.0	0.033309818902093946	0.0560321146953405	0.11173148323845668	0.02761423149905123	0.036835419675814475	0.0	0.5562586194935831	0.0	0.0021581003584229394	0.005198633132859486	0.05862224213460773	0.012881436396835057	0.09630388751033912	0.0	0.032412771560237	0.0	0.023552459391443608	0.015024822695035462	0.011830489844683394	0.0	0.03283895973993498	0.7010708141321045	0.0	0.8087826121164438	0.766713877688172	0.029172424557752343	0.1708724879495736	0.01688110599078341	0.029721290322580644	0.014862696443341605	0.04434541935483871	0.0	0.01782870500233754	0.0872158017765311	0.7435833050367855	0.7024175838077167	0.005846774193548388	0.019298387096774193
LC26	0.00011793327154772937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6500498249003743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04417896006432592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC27	0.012602720996344931	0.016223382933495293	0.009128652913366488	0.000468833927103316	0.0009308825924116594	0.0009187885443946947	0.8138987002475718	0.0	0.292274142583779	0.0017069379295298352	0.011569267465946897	0.0	0.1413891264951069	0.026330733166275967	0.0	0.00812340506570177	0.018591856333429368	0.003997742686506731	0.005251932790433976	0.0013264680941276234	0.0	0.00942422339722406	0.0	0.0004261541884525531	0.0	0.020471559743868554	0.0	0.8500928039388965	0.010120702570063284	0.0	0.034470549970431696	0.7386685692883894	0.018851421017845343	0.0	0.7735654368606406	0.0	0.003694454512504531	0.0	0.0002853932584269663	0.007287640449438202	0.031173970037453185	0.0333059571761713	0.8796202463267069	0.0	0.0035547351524879618	0.0	0.0011239780062156349	0.0011704518288309827	0.0022314357053682893	0.0	0.011089365037888686	0.0	0.0	0.0	0.00908311095505618	0.0064769844146429865	0.23377768306857807	0.014521348314606742	0.0	0.011946585998271394	0.03293901123595506	0.0	0.005933756717147044	0.07243400097703957	0.0	0.0	0.025591573033707866	0.0
LC28	0.003864192978811799	0.0	0.0006920545191884932	0.0033010302775441547	0.0	0.0	0.0	0.0	0.0	0.005284326526057359	0.0009553843190136775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009549561852736999	0.0	0.0	0.0	0.0	0.9950481173206499	0.0	0.009588021778584392	0.0007227126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001817962205338009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038852785145888596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC29	5.674428483163423e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9895162721893492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12585401429171922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC30	0.004563348129359543	0.0	0.0	0.0	0.0	0.0	0.0003058876003568243	0.0	0.0	0.0	0.0018677594825051453	0.0	0.0	0.0003749053388867853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044956140350877193	0.0	0.0	0.0	0.0	0.0	0.00019716144293317563	0.026130293405928616	0.0	0.9728645775623267	0.00388721052631579	0.00030127708978328174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9724303137651823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC31	0.009354807228915662	0.010832872072072073	0.017639963570127506	0.00013585365853658536	2.871014492753623e-05	0.0028300852130325816	0.9085754576271186	0.0	0.5497419563318777	5.39546925566343e-05	0.003460391806331471	0.0	0.6188662709677419	0.04385611510791367	0.0	0.013675389830508476	0.006398074074074073	0.006871963963963964	0.04670968807339449	0.03184466666666667	0.0	0.001279686274509804	0.0	0.0	0.0	0.05274508960573477	0.0	0.7668211086142322	0.013546314176245211	0.0	0.021325122807017545	0.8848268444444445	0.00022929411764705885	0.020238470588235295	0.8826261492537314	0.0	0.00411389247311828	0.0	0.0055896	0.005926508474576272	0.03282785185185185	0.011879748427672955	0.702453641025641	0.0	0.005034775510204081	0.0	0.006230468085106383	0.00909404255319149	0.014055703703703702	0.0	0.01485060465116279	0.0	0.0	0.02793853658536585	0.005688375000000001	0.009769935483870966	0.19860777011494252	0.0	0.0	0.0	0.6254406933333333	0.0	0.009413101449275364	0.0	0.0	0.0	0.020774	0.021639999999999996
LC32	0.005340937278525868	0.0	0.0016209900353584055	0.0	0.0	0.0005506302521008404	0.0	0.0005248081841432225	0.0	0.0	0.004649211304633585	0.0	0.0	0.0048053745239102835	0.0	0.0031807328015952146	0.01753921568627451	0.024676868044515105	0.0	0.0	0.0	0.00225886678200692	0.0	0.0	0.0	3.4898798228969004e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.971910142733564	0.010919896193771626	0.0	0.0	0.0	0.0	0.0006647058823529412	0.0	0.0006974400871459695	0.0233569089900111	0.0	0.016803027681660896	0.01804873949579832	0.0	0.10217102628285357	0.013061639549436796	0.0	0.0009839261285909714	0.0	0.0	0.0	0.0	0.0	0.007214421252371916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003953405572755417	0.0	0.0	0.0
