class	pock_vol
Sterol	1013.75
Sterol	30.71
Sterol	874.3
Sterol	431.91
Sterol	261.11
Sterol	379.4
Sterol	663.84
Sterol	391.96
Sterol	948.94
Sterol	641.02
Sterol	166.1
Sterol	90.25
Sterol	312.5
Sterol	729.83
Sterol	169.54
Sterol	272.53
Sterol	710.13
Sterol	107.92
Sterol	710.18
Sterol	1046.82
Sterol	499.82
Sterol	290.77
Sterol	541.63
Sterol	1102.06
Sterol	1155.18
Sterol	384.37
Sterol	783.72
Sterol	434.8
Sterol	443.0
Sterol	636.85
Sterol	163.37
Sterol	447.76
Sterol	492.39
Sterol	551.31
Sterol	1027.4
Sterol	748.62
Sterol	1227.21
Sterol	293.28
Sterol	0.0
Sterol	690.28
Sterol	341.75
Sterol	680.47
Sterol	361.32
Sterol	472.39
Sterol	532.86
Sterol	602.42
Sterol	733.65
Sterol	164.75
Sterol	430.19
Sterol	151.66
Sterol	530.47
Sterol	444.89
Sterol	358.53
Sterol	320.65
Sterol	650.12
Sterol	637.67
Sterol	221.18
Sterol	450.04
Sterol	246.54
Sterol	333.12
Sterol	699.17
Sterol	563.76
Sterol	1778.7
Sterol	450.47
Sterol	385.06
Sterol	247.98
Sterol	536.51
Sterol	111.78
Sterol	505.13
Sterol	372.57
Sterol	402.78
Sterol	478.98
Sterol	477.49
Sterol	454.1
Sterol	190.17
Sterol	218.06
Sterol	703.14
Sterol	489.02
Sterol	823.03
Sterol	364.32
Sterol	618.3
Sterol	376.45
Sterol	280.85
Sterol	1284.06
Sterol	0.0
Sterol	185.78
Sterol	221.95
Sterol	241.13
Sterol	1027.28
Sterol	203.41
Sterol	595.73
Sterol	252.57
Sterol	1036.76
Sterol	642.28
Sterol	531.14
Sterol	658.68
Sterol	963.54
Sterol	78.86
Sterol	282.78
Sterol	804.71
Sterol	145.18
Sterol	306.38
Sterol	1355.95
Sterol	508.42
Sterol	459.08
Sterol	124.87
Sterol	255.9
Sterol	0.0
Sterol	549.23
Sterol	783.81
Sterol	606.49
Sterol	1038.13
Sterol	409.32
Sterol	436.32
Sterol	329.06
Sterol	1026.58
Sterol	549.76
Sterol	568.81
Sterol	887.77
Sterol	528.46
Sterol	244.72
Sterol	793.3
Sterol	711.61
Sterol	693.97
Sterol	773.38
Sterol	663.29
Sterol	784.33
Sterol	592.43
Sterol	677.42
Sterol	462.6
Sterol	724.84
Sterol	598.6
Sterol	523.46
Sterol	167.24
Sterol	722.64
Sterol	472.2
Sterol	1031.0
Sterol	1343.0
Sterol	1067.8
Sterol	399.55
Sterol	236.69
Sterol	356.24
Sterol	407.88
Sterol	647.34
Sterol	352.09
Sterol	427.15
Sterol	232.8
Sterol	1433.28
Sterol	698.23
Sterol	200.73
Sterol	846.81
Sterol	593.9
Sterol	0.0
Sterol	331.86
Sterol	512.43
Sterol	397.67
Sterol	667.05
Sterol	552.65
Sterol	883.99
Sterol	355.08
Sterol	402.16
Sterol	839.34
Sterol	527.09
Sterol	98.36
Sterol	429.9
Sterol	274.61
Sterol	304.38
Sterol	499.32
Sterol	1067.78
Sterol	194.2
Sterol	422.47
Sterol	963.71
Sterol	370.89
Sterol	454.72
Sterol	235.36
Sterol	730.56
Sterol	395.42
Sterol	250.09
Sterol	86.44
Sterol	971.57
Sterol	0.0
Sterol	492.84
Sterol	858.22
Sterol	200.59
Sterol	598.68
Sterol	889.92
Sterol	784.59
Sterol	344.44
Sterol	445.59
Sterol	523.4
Sterol	636.02
Sterol	513.99
Sterol	194.25
Sterol	81.98
Sterol	1080.66
Sterol	281.03
Sterol	576.53
Sterol	565.83
Sterol	575.67
Sterol	408.33
Sterol	436.8
Sterol	145.12
Sterol	1689.31
Sterol	0.0
Sterol	535.1
Sterol	667.68
Sterol	504.74
Sterol	562.26
Sterol	607.76
Sterol	464.23
Sterol	283.28
Sterol	484.91
Sterol	134.75
Sterol	667.07
Sterol	506.75
Sterol	230.07
Sterol	400.73
Sterol	582.11
Sterol	294.93
Sterol	644.84
Sterol	489.66
Sterol	477.19
Sterol	591.67
Sterol	679.36
Sterol	773.01
Sterol	233.25
Sterol	1101.65
Sterol	224.35
Sterol	505.46
Sterol	121.35
Sterol	902.04
Sterol	776.54
Sterol	955.24
Sterol	795.82
Sterol	427.77
Sterol	623.41
Sterol	759.84
Sterol	1271.05
Sterol	203.98
Sterol	137.6
Sterol	410.74
Sterol	232.86
Sterol	808.3
Sterol	422.21
Sterol	784.14
Sterol	338.76
Sterol	924.61
Sterol	475.92
Sterol	234.04
Sterol	355.49
Sterol	1109.08
Sterol	761.25
Sterol	1169.49
Sterol	269.43
Sterol	117.89
Sterol	699.3
Sterol	682.43
Sterol	527.35
Sterol	296.18
Sterol	348.84
Sterol	500.35
Sterol	488.22
Sterol	613.18
Sterol	404.03
Sterol	365.58
Sterol	871.26
Sterol	1068.98
Sterol	1118.42
Sterol	122.56
Sterol	323.85
Sterol	436.46
Sterol	698.46
Sterol	236.4
Sterol	436.34
Sterol	313.71
Sterol	473.42
Sterol	619.09
Sterol	689.66
Sterol	750.7
Sterol	553.0
Sterol	426.12
Sterol	504.11
Sterol	360.98
Sterol	454.58
Sterol	340.15
Sterol	1303.07
Sterol	504.15
Sterol	838.49
Sterol	961.77
Sterol	730.76
Sterol	1756.8
Sterol	912.54
Sterol	251.48
Sterol	598.24
Sterol	138.52
Sterol	100.42
Sterol	509.98
Sterol	578.63
Sterol	991.78
Sterol	595.48
Sterol	546.6
Sterol	655.89
Sterol	600.04
Sterol	95.49
Sterol	319.52
Sterol	131.98
Sterol	480.87
Sterol	210.1
Sterol	1135.33
Sterol	72.35
Sterol	414.9
Sterol	193.93
Sterol	589.4
Sterol	392.72
Sterol	941.48
Sterol	576.55
Sterol	270.06
Sterol	107.49
Sterol	677.47
Sterol	382.65
Sterol	326.3
Sterol	1043.62
Sterol	302.22
Sterol	283.64
Sterol	310.8
Sterol	354.29
Sterol	300.39
Sterol	684.92
Sterol	651.71
Sterol	637.32
Sterol	848.71
Sterol	172.74
Sterol	0.0
Sterol	315.43
Sterol	1063.94
Sterol	138.76
Sterol	1367.0
Sterol	684.75
Sterol	209.99
Sterol	1065.12
Sterol	947.43
Sterol	384.81
Sterol	673.61
Sterol	455.57
Sterol	520.43
Sterol	339.76
Sterol	1107.16
Sterol	774.08
Sterol	584.06
Sterol	266.13
Sterol	218.92
Sterol	690.7
Sterol	268.52
Sterol	551.19
Sterol	1279.28
Sterol	272.1
Sterol	553.69
Sterol	607.89
Sterol	263.03
Sterol	611.68
Sterol	80.82
Sterol	222.59
Sterol	693.81
Sterol	328.85
Sterol	357.9
Sterol	555.9
Sterol	635.63
Sterol	367.13
Sterol	895.67
Sterol	365.28
Sterol	363.9
Sterol	724.25
Sterol	987.2
Sterol	35.32
Sterol	443.21
Sterol	618.94
Sterol	788.07
Sterol	516.86
Sterol	126.23
Sterol	45.26
Sterol	715.6
Sterol	1147.5
Sterol	155.31
Sterol	449.48
Sterol	840.12
Sterol	681.27
Sterol	643.71
Sterol	471.25
Sterol	826.26
Sterol	873.91
Sterol	504.19
Sterol	608.55
Sterol	377.73
Sterol	460.12
Sterol	389.57
Sterol	907.58
Sterol	284.46
Sterol	1047.89
Sterol	718.84
Sterol	340.83
Sterol	844.47
Sterol	661.09
Sterol	288.78
Sterol	29.75
Sterol	304.98
Sterol	941.36
Sterol	71.11
Sterol	436.42
Sterol	206.22
Sterol	311.97
Sterol	253.65
Sterol	40.8
Sterol	715.9
Sterol	426.55
Sterol	742.11
Sterol	331.11
Sterol	289.92
Sterol	394.93
Sterol	475.66
Sterol	419.7
Sterol	767.99
Sterol	818.92
Sterol	1405.31
Sterol	386.76
Sterol	453.43
Sterol	533.67
Sterol	315.96
Sterol	492.44
Sterol	309.51
Sterol	418.3
Sterol	995.01
Sterol	164.74
Sterol	351.13
Sterol	687.3
Sterol	505.86
Sterol	617.05
Sterol	832.47
Sterol	512.58
Sterol	312.27
Sterol	1147.54
Sterol	760.38
Sterol	585.01
Sterol	894.08
Sterol	342.07
Sterol	374.84
Sterol	553.9
Sterol	346.3
Sterol	665.49
Sterol	341.63
Sterol	826.69
Sterol	148.02
Sterol	631.63
Sterol	1047.9
Sterol	842.35
Sterol	177.44
Sterol	334.35
Sterol	661.16
Sterol	585.39
Sterol	553.23
Sterol	384.53
Sterol	157.41
Sterol	504.85
Sterol	658.69
Sterol	508.14
Sterol	616.4
Sterol	431.57
Sterol	582.71
