class	pi-cation_dist
Glycerophopspholipid	4.58
Glycerophopspholipid	4.28
Glycerophopspholipid	4.7
Glycerophopspholipid	4.55
Glycerophopspholipid	4.71
Glycerophopspholipid	4.27
Glycerophopspholipid	4.64
Glycerophopspholipid	4.39
Glycerophopspholipid	4.55
Glycerophopspholipid	4.64
Glycerophopspholipid	4.4
Glycerophopspholipid	4.5
Glycerophopspholipid	4.71
Glycerophopspholipid	4.52
Glycerophopspholipid	4.75
Glycerophopspholipid	4.68
Glycerophopspholipid	4.33
Glycerophopspholipid	4.67
Glycerophopspholipid	4.55
Glycerophopspholipid	4.68
Glycerophopspholipid	4.53
Glycerophopspholipid	4.75
Glycerophopspholipid	4.74
Glycerophopspholipid	4.74
Glycerophopspholipid	4.36
Glycerophopspholipid	4.32
Glycerophopspholipid	4.59
Glycerophopspholipid	4.44
Glycerophopspholipid	4.34
Glycerophopspholipid	5.08
Glycerophopspholipid	4.64
Glycerophopspholipid	4.47
Glycerophopspholipid	4.52
Glycerophopspholipid	4.58
Glycerophopspholipid	4.53
Glycerophopspholipid	4.53
Glycerophopspholipid	4.5
Glycerophopspholipid	4.43
Glycerophopspholipid	4.67
Glycerophopspholipid	4.67
Glycerophopspholipid	4.41
Glycerophopspholipid	4.66
Glycerophopspholipid	4.44
Glycerophopspholipid	4.51
Glycerophopspholipid	4.52
Glycerophopspholipid	4.55
Glycerophopspholipid	4.47
Glycerophopspholipid	4.48
Glycerophopspholipid	4.59
Glycerophopspholipid	4.68
