class	donor_angle
sterol	109.62
sterol	170.79
sterol	150.36
sterol	114.08
sterol	165.61
sterol	118.71
sterol	111.48
sterol	101.41
sterol	106.31
sterol	128.3
sterol	105.78
sterol	154.04
sterol	118.08
sterol	143.05
sterol	153.46
sterol	167.8
sterol	142.77
sterol	175.92
sterol	140.48
sterol	115.89
sterol	134.22
sterol	140.11
sterol	110.27
sterol	133.38
sterol	103.1
sterol	104.35
sterol	156.23
sterol	153.29
sterol	110.26
sterol	162.74
sterol	152.92
sterol	153.14
sterol	136.11
sterol	123.7
sterol	159.81
sterol	155.86
sterol	140.49
sterol	125.03
sterol	151.68
sterol	158.51
sterol	102.49
sterol	123.06
sterol	153.34
sterol	159.23
sterol	137.6
sterol	137.25
sterol	117.91
sterol	155.01
sterol	128.57
sterol	148.98
sterol	111.56
sterol	158.83
sterol	121.87
sterol	154.85
sterol	159.87
sterol	161.53
sterol	167.62
sterol	165.08
sterol	173.51
sterol	157.51
sterol	158.33
sterol	103.59
sterol	142.27
sterol	153.92
sterol	121.74
sterol	158.04
sterol	158.1
sterol	111.14
sterol	150.92
sterol	155.97
sterol	108.17
sterol	143.95
sterol	122.44
sterol	155.74
sterol	115.09
sterol	105.02
sterol	145.08
sterol	153.18
sterol	154.98
sterol	147.83
sterol	152.55
sterol	153.86
sterol	155.62
sterol	160.58
sterol	164.66
sterol	144.76
sterol	158.07
sterol	154.87
sterol	165.97
sterol	134.05
sterol	162.4
sterol	165.35
sterol	171.19
sterol	139.15
sterol	164.97
sterol	154.87
sterol	166.17
sterol	168.69
sterol	134.67
sterol	145.89
sterol	128.97
sterol	109.44
sterol	156.83
sterol	145.23
sterol	157.93
sterol	138.99
sterol	116.34
sterol	105.18
sterol	137.94
sterol	140.4
sterol	152.28
sterol	167.73
sterol	142.85
sterol	160.07
sterol	156.22
sterol	103.81
sterol	100.12
sterol	105.48
sterol	100.08
sterol	160.16
sterol	160.04
sterol	111.71
sterol	114.21
sterol	143.13
sterol	127.39
sterol	136.92
sterol	124.07
sterol	102.47
sterol	111.33
sterol	102.36
sterol	155.8
sterol	162.18
sterol	103.19
sterol	105.64
sterol	155.35
sterol	104.13
sterol	140.07
sterol	143.24
sterol	154.57
sterol	139.92
sterol	135.15
sterol	108.95
sterol	165.04
sterol	105.63
sterol	163.86
sterol	157.43
sterol	101.81
sterol	159.62
sterol	147.83
sterol	125.61
sterol	145.45
sterol	125.9
sterol	157.15
sterol	146.65
sterol	157.08
sterol	165.39
sterol	141.77
sterol	143.19
sterol	154.56
sterol	157.29
sterol	149.2
sterol	154.42
sterol	153.92
sterol	125.49
sterol	145.92
sterol	157.89
sterol	144.88
sterol	152.41
sterol	146.96
sterol	151.05
sterol	147.67
sterol	130.17
sterol	143.26
sterol	153.15
sterol	159.55
sterol	136.49
sterol	151.43
sterol	105.33
sterol	143.48
sterol	138.77
sterol	129.71
sterol	108.81
sterol	155.42
sterol	141.45
sterol	143.55
sterol	152.06
sterol	149.28
sterol	151.33
sterol	155.59
sterol	134.35
sterol	151.03
sterol	104.25
sterol	129.46
sterol	121.66
sterol	101.91
sterol	144.63
sterol	131.1
sterol	103.39
sterol	130.81
sterol	102.34
sterol	136.2
sterol	125.34
sterol	169.41
sterol	116.57
sterol	163.43
sterol	152.25
sterol	120.37
sterol	151.37
sterol	104.2
sterol	149.35
sterol	140.97
sterol	148.93
sterol	159.8
sterol	161.8
sterol	119.25
sterol	176.08
sterol	107.0
sterol	171.79
sterol	131.9
sterol	127.72
sterol	160.82
sterol	156.53
sterol	130.93
sterol	159.24
sterol	145.37
sterol	161.85
sterol	144.87
sterol	162.53
sterol	162.03
sterol	132.83
sterol	149.68
sterol	168.32
sterol	166.4
sterol	124.46
sterol	100.74
sterol	100.74
sterol	116.11
sterol	137.34
sterol	169.4
sterol	104.99
sterol	114.26
sterol	131.05
sterol	144.35
sterol	125.85
sterol	133.3
sterol	162.3
sterol	150.76
sterol	123.38
sterol	111.27
sterol	115.78
sterol	160.5
sterol	161.43
sterol	145.11
sterol	160.69
sterol	146.85
sterol	119.81
sterol	146.62
sterol	175.03
sterol	136.57
sterol	154.78
sterol	150.33
sterol	158.26
sterol	146.32
sterol	146.64
