class	GO_CC	polarity_score
Sterol	brush border membrane [GO:0031526]	3
Sterol	mitochondrial matrix [GO:0005759]	12
Sterol	mitochondrion [GO:0005739]	12
Sterol	mitochondrial inner membrane [GO:0005743]	12
Sterol	fungal-type vacuole [GO:0000324]	3
Sterol	fungal-type vacuole lumen [GO:0000328]	3
Sterol	organelle membrane [GO:0031090]	2
Sterol	basolateral plasma membrane [GO:0016323]	2
Sterol	apical plasma membrane [GO:0016324]	2
Sterol	T-tubule [GO:0030315]	2
Sterol	sperm flagellum [GO:0036126]	2
Sterol	lateral plasma membrane [GO:0016328]	2
Sterol	intercalated disc [GO:0014704]	2
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	2
Sterol	respiratory chain complex IV [GO:0045277]	4
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	4
Sterol	membrane [GO:0016020]	7
Sterol	cell surface [GO:0009986]	1
Sterol	apical plasma membrane [GO:0016324]	1
Sterol	external side of apical plasma membrane [GO:0098591]	1
Sterol	extracellular exosome [GO:0070062]	1
Sterol	plasma membrane [GO:0005886]	1
Sterol	membrane [GO:0016020]	1
Sterol	cytoplasm [GO:0005737]	1
Sterol	cytosol [GO:0005829]	14
Sterol	nucleoplasm [GO:0005654]	14
Sterol	receptor complex [GO:0043235]	14
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	14
Sterol	chromatin [GO:0000785]	14
Sterol	nucleus [GO:0005634]	14
Sterol	apical plasma membrane [GO:0016324]	3
Sterol	extracellular exosome [GO:0070062]	3
Sterol	brush border membrane [GO:0031526]	3
Sterol	Golgi apparatus [GO:0005794]	4
Sterol	endosome membrane [GO:0010008]	4
Sterol	lysosome [GO:0005764]	4
Sterol	endosome [GO:0005768]	4
Sterol	apical plasma membrane [GO:0016324]	4
Sterol	early endosome [GO:0005769]	4
Sterol	neuronal dense core vesicle [GO:0098992]	4
Sterol	plasma membrane [GO:0005886]	4
Sterol	membrane [GO:0016020]	4
Sterol	receptor complex [GO:0043235]	4
Sterol	nucleus [GO:0005634]	4
Sterol	clathrin-coated endocytic vesicle membrane [GO:0030669]	4
Sterol	host cell cytoplasm [GO:0030430]	4
Sterol	protein-containing complex [GO:0032991]	7
Sterol	cytosol [GO:0005829]	7
Sterol	nucleoplasm [GO:0005654]	7
Sterol	membrane [GO:0016020]	7
Sterol	synapse [GO:0045202]	7
Sterol	nuclear speck [GO:0016607]	7
Sterol	spindle [GO:0005819]	7
Sterol	chromatin [GO:0000785]	7
Sterol	mitochondrial matrix [GO:0005759]	7
Sterol	nucleus [GO:0005634]	7
Sterol	cytoplasm [GO:0005737]	7
Sterol	microtubule organizing center [GO:0005815]	7
Sterol	respiratory chain complex IV [GO:0045277]	4
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	4
Sterol	membrane [GO:0016020]	1
Sterol	plasma membrane [GO:0005886]	4
Sterol	lysosome [GO:0005764]	4
Sterol	mitochondrion [GO:0005739]	0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0
Sterol	mitochondrial respirasome [GO:0005746]	0
Sterol	respiratory chain complex IV [GO:0045277]	0
Sterol	plasma membrane [GO:0005886]	8
Sterol	dendrite [GO:0030425]	8
Sterol	synapse [GO:0045202]	8
Sterol	mitochondrion [GO:0005739]	3
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	3
Sterol	mitochondrial respirasome [GO:0005746]	3
Sterol	respiratory chain complex IV [GO:0045277]	3
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	2
Sterol	respiratory chain complex IV [GO:0045277]	2
Sterol	L-type voltage-gated calcium channel complex [GO:1990454]	2
Sterol	postsynaptic density membrane [GO:0098839]	2
Sterol	perikaryon [GO:0043204]	2
Sterol	membrane [GO:0016020]	2
Sterol	Z disc [GO:0030018]	2
Sterol	plasma membrane [GO:0005886]	2
Sterol	dendrite [GO:0030425]	2
Sterol	cytoplasm [GO:0005737]	2
Sterol	postsynaptic density [GO:0014069]	2
Sterol	voltage-gated calcium channel complex [GO:0005891]	2
Sterol	intercellular canaliculus [GO:0046581]	4
Sterol	apical plasma membrane [GO:0016324]	4
Sterol	extracellular exosome [GO:0070062]	4
Sterol	cell surface [GO:0009986]	4
Sterol	plasma membrane [GO:0005886]	4
Sterol	recycling endosome membrane [GO:0055038]	4
Sterol	endosome [GO:0005768]	4
Sterol	Golgi membrane [GO:0000139]	4
Sterol	recycling endosome [GO:0055037]	4
Sterol	intracellular canaliculus [GO:0046691]	4
Sterol	mitochondrion [GO:0005739]	0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0
Sterol	mitochondrial respirasome [GO:0005746]	0
Sterol	respiratory chain complex IV [GO:0045277]	0
Sterol	cytostome [GO:0031910]	7
Sterol	vacuolar membrane [GO:0005774]	7
Sterol	food vacuole [GO:0020020]	7
Sterol	vacuolar lumen [GO:0005775]	7
Sterol	mitochondrion [GO:0005739]	3
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	3
Sterol	mitochondrial respirasome [GO:0005746]	3
Sterol	respiratory chain complex IV [GO:0045277]	3
Sterol	recycling endosome [GO:0055037]	3
Sterol	endosome [GO:0005768]	3
Sterol	clathrin-coated pit [GO:0005905]	3
Sterol	early endosome [GO:0005769]	3
Sterol	intracellular membrane-bounded organelle [GO:0043231]	3
Sterol	plasma membrane [GO:0005886]	3
Sterol	external side of plasma membrane [GO:0009897]	3
Sterol	cell surface [GO:0009986]	3
Sterol	apical plasma membrane [GO:0016324]	6
Sterol	plasma membrane [GO:0005886]	6
Sterol	apical plasma membrane [GO:0016324]	6
Sterol	plasma membrane [GO:0005886]	6
Sterol	mitochondrion [GO:0005739]	0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0
Sterol	mitochondrial respirasome [GO:0005746]	0
Sterol	respiratory chain complex IV [GO:0045277]	0
Sterol	recycling endosome [GO:0055037]	4
Sterol	endosome [GO:0005768]	4
Sterol	clathrin-coated pit [GO:0005905]	4
Sterol	early endosome [GO:0005769]	4
Sterol	intracellular membrane-bounded organelle [GO:0043231]	4
Sterol	plasma membrane [GO:0005886]	4
