class	GO_CC	polarity_score
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	1
Glycerolipid	dendrite [GO:0030425]	1
Glycerolipid	cytoplasm [GO:0005737]	1
Glycerolipid	plasma membrane [GO:0005886]	1
Glycerolipid	nucleoplasm [GO:0005654]	1
Glycerolipid	synapse [GO:0045202]	1
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	2
Glycerolipid	dendrite [GO:0030425]	2
Glycerolipid	cytoplasm [GO:0005737]	2
Glycerolipid	plasma membrane [GO:0005886]	2
Glycerolipid	nucleoplasm [GO:0005654]	2
Glycerolipid	synapse [GO:0045202]	2
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	5
Glycerolipid	dendrite [GO:0030425]	5
Glycerolipid	cytoplasm [GO:0005737]	5
Glycerolipid	plasma membrane [GO:0005886]	5
Glycerolipid	nucleoplasm [GO:0005654]	5
Glycerolipid	synapse [GO:0045202]	5
Glycerolipid	periplasmic space [GO:0042597]	2
Glycerolipid	periplasmic space [GO:0042597]	5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	0
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	5
Glycerolipid	respiratory chain complex IV [GO:0045277]	5
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	5
Glycerolipid	plasma membrane [GO:0005886]	0
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	0
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	0
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	5
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	5
Glycerolipid	periplasmic space [GO:0042597]	3
Glycerolipid	periplasmic space [GO:0042597]	2
Glycerolipid	periplasmic space [GO:0042597]	2
Glycerolipid	bicellular tight junction [GO:0005923]	6
Glycerolipid	plasma membrane [GO:0005886]	6
Glycerolipid	lateral plasma membrane [GO:0016328]	6
Glycerolipid	bicellular tight junction [GO:0005923]	4
Glycerolipid	plasma membrane [GO:0005886]	4
Glycerolipid	lateral plasma membrane [GO:0016328]	4
Glycerolipid	photosystem II [GO:0009523]	7
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	7
Glycerolipid	photosystem II [GO:0009523]	7
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	7
Glycerolipid	photosystem II [GO:0009523]	5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	5
Glycerolipid	photosystem II [GO:0009523]	5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	5
Glycerolipid	photosystem II [GO:0009523]	5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	5
Glycerolipid	photosystem II [GO:0009523]	5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	5
Glycerolipid	respiratory chain complex IV [GO:0045277]	5
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	5
Glycerolipid	photosystem II [GO:0009523]	7
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	7
Glycerolipid	photosystem II [GO:0009523]	7
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	7
Glycerolipid	photosystem II [GO:0009523]	2
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Glycerolipid	photosystem II [GO:0009523]	2
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Glycerolipid	photosystem II [GO:0009523]	3
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Glycerolipid	photosystem II [GO:0009523]	3
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Glycerolipid	photosystem II [GO:0009523]	3
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Glycerolipid	photosystem II [GO:0009523]	3
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Glycerolipid	photosystem II [GO:0009523]	3
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Glycerolipid	photosystem II [GO:0009523]	3
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	3
Glycerolipid	photosystem II [GO:0009523]	2
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Glycerolipid	photosystem II [GO:0009523]	2
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Glycerolipid	photosystem II [GO:0009523]	4
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	4
Glycerolipid	nucleoplasm [GO:0005654]	6
Glycerolipid	respiratory chain complex IV [GO:0045277]	6
Glycerolipid	cytosol [GO:0005829]	6
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	6
Glycerolipid	photosystem II [GO:0009523]	3
