pdb_file	ccd_id	expected_atom_count	observed_atom_count	missing_atom_count	extra_atom_count	missing_atoms	extra_atoms
/Volumes/GigiMurin/plip/sterol_lipids/BD1irj-B-G-CPS1/plipfixed.BD1irj-B-G-CPS1_uoma1sm7.pdb	CPS	42	32	10	0	C28,C29,C30,C31,C32,N2,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1irj-B-G-CPS1/BD1irj-B-G-CPS1_protonated.pdb	CPS	42	32	10	0	C28,C29,C30,C31,C32,N2,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1irj-D-D-CPS1/BD1irj-D-D-CPS1_protonated.pdb	CPS	42	32	10	0	C28,C29,C30,C31,C32,N2,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1irj-D-D-CPS2/BD1irj-D-D-CPS2_protonated.pdb	CPS	42	32	10	0	C28,C29,C30,C31,C32,N2,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1irj-E-D-CPS1/plipfixed.BD1irj-E-D-CPS1_qyp1y8d6.pdb	CPS	42	32	10	0	C28,C29,C30,C31,C32,N2,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1irj-E-D-CPS1/BD1irj-E-D-CPS1_protonated.pdb	CPS	42	32	10	0	C28,C29,C30,C31,C32,N2,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1irj-E-D-CPS2/plipfixed.BD1irj-E-D-CPS2_q4vq7cnu.pdb	CPS	42	32	10	0	C28,C29,C30,C31,C32,N2,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1irj-E-D-CPS2/BD1irj-E-D-CPS2_protonated.pdb	CPS	42	32	10	0	C28,C29,C30,C31,C32,N2,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1irj-G-B-CPS1/plipfixed.BD1irj-G-B-CPS1_qdu7ysjx.pdb	CPS	42	32	10	0	C28,C29,C30,C31,C32,N2,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1irj-G-B-CPS1/BD1irj-G-B-CPS1_protonated.pdb	CPS	42	32	10	0	C28,C29,C30,C31,C32,N2,O1S,O2S,O3S,S	
