interaction_type	group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
metal	sterol	saccharolipid	1118106.5	1.0	6797	329	1.0	False
metal	sterol	prenol	50263815.0	0.05521414689535117	6797	14798	0.3864990282674582	False
metal	sterol	polyketide	8890476.0	1.0	6797	2616	1.0	False
metal	sterol	glycerophospholipid	110607581.0	1.0	6797	32546	1.0	False
metal	sterol	glycerolipid	24088568.0	1.0	6797	7088	1.0	False
metal	sterol	fattyacyl	102400203.5	0.2089199680691639	6797	30138	0.8199843742160955	False
metal	sphingolipid	saccharolipid	36848.0	1.0	224	329	1.0	False
metal	sphingolipid	prenol	1656480.0	0.7279322144520299	224	14798	1.0	False
metal	sphingolipid	polyketide	292992.0	1.0	224	2616	1.0	False
metal	sphingolipid	glycerophospholipid	3645152.0	1.0	224	32546	1.0	False
metal	sphingolipid	glycerolipid	793856.0	1.0	224	7088	1.0	False
metal	sphingolipid	fattyacyl	3374672.0	0.8196679434426826	224	30138	1.0	False
metal	saccharolipid	prenol	2432955.0	0.6732629244171312	329	14798	1.0	False
metal	saccharolipid	polyketide	430332.0	1.0	329	2616	1.0	False
metal	saccharolipid	glycerophospholipid	5353817.0	1.0	329	32546	1.0	False
metal	saccharolipid	glycerolipid	1165976.0	1.0	329	7088	1.0	False
metal	saccharolipid	fattyacyl	4956549.5	0.782286862802966	329	30138	1.0	False
metal	prenol	polyketide	19366248.0	0.23428124977602727	14798	2616	0.8199843742160955	False
metal	prenol	glycerophospholipid	240938038.0	2.729789611944842e-05	14798	32546	0.0007643410913445558	True
metal	prenol	glycerolipid	52472464.0	0.050254110025160594	14798	7088	0.3864990282674582	False
metal	prenol	fattyacyl	223059797.0	0.09276264098188297	14798	30138	0.5194707894985446	False
metal	polyketide	glycerophospholipid	42570168.0	1.0	2616	32546	1.0	False
metal	polyketide	glycerolipid	9271104.0	1.0	2616	7088	1.0	False
metal	polyketide	fattyacyl	39411348.0	0.43567401378676607	2616	30138	1.0	False
metal	glycerophospholipid	glycerolipid	115343024.0	1.0	32546	7088	1.0	False
metal	glycerophospholipid	fattyacyl	490321763.0	0.005967960897103727	32546	30138	0.08355145255945218	False
metal	glycerolipid	fattyacyl	106784264.0	0.19943696261188726	7088	30138	0.8199843742160955	False
