class	GO_CC	as_max_dst
Sterol	plasma membrane [GO:0005886]	24.08
Sterol	external side of plasma membrane [GO:0009897]	24.08
Sterol	cell surface [GO:0009986]	24.08
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	5.06
Sterol	respiratory chain complex IV [GO:0045277]	5.06
Sterol	membrane [GO:0016020]	11.01
Sterol	Golgi cisterna membrane [GO:0032580]	11.01
Sterol	plasma membrane [GO:0005886]	11.01
Sterol	presynaptic membrane [GO:0042734]	11.01
Sterol	gamma-secretase complex [GO:0070765]	11.01
Sterol	endoplasmic reticulum membrane [GO:0005789]	11.01
Sterol	early endosome [GO:0005769]	11.01
Sterol	Golgi apparatus [GO:0005794]	11.01
Sterol	Golgi membrane [GO:0000139]	11.01
Sterol	endosome membrane [GO:0010008]	11.01
Sterol	synaptic vesicle [GO:0008021]	11.01
Sterol	endoplasmic reticulum [GO:0005783]	11.01
Sterol	postsynaptic membrane [GO:0045211]	16.02
Sterol	acetylcholine-gated channel complex [GO:0005892]	16.02
Sterol	mitochondrial inner membrane [GO:0005743]	12.16
Sterol	respiratory chain complex IV [GO:0045277]	12.16
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	1.08
Sterol	respiratory chain complex IV [GO:0045277]	1.08
Sterol	plasma membrane [GO:0005886]	15.92
Sterol	membrane [GO:0016020]	15.92
Sterol	lysosome [GO:0005764]	15.92
Sterol	plasma membrane [GO:0005886]	16.42
Sterol	membrane [GO:0016020]	16.42
Sterol	lysosome [GO:0005764]	16.42
Sterol	respiratory chain complex IV [GO:0045277]	9.98
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	9.98
Sterol	dendrite [GO:0030425]	22.55
Sterol	dendritic shaft [GO:0043198]	22.55
Sterol	glutamatergic synapse [GO:0098978]	22.55
Sterol	postsynaptic membrane [GO:0045211]	22.55
Sterol	synapse [GO:0045202]	22.55
Sterol	AMPA glutamate receptor complex [GO:0032281]	22.55
Sterol	varicosity [GO:0043196]	11.1
Sterol	ruffle [GO:0001726]	11.1
Sterol	plasma membrane [GO:0005886]	11.1
Sterol	synaptic vesicle membrane [GO:0030672]	11.1
Sterol	neuronal cell body [GO:0043025]	11.1
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	10.61
Sterol	respiratory chain complex IV [GO:0045277]	10.61
Sterol	plasma membrane [GO:0005886]	14.55
Sterol	membrane [GO:0016020]	14.55
Sterol	dendrite [GO:0030425]	18.26
Sterol	dendritic shaft [GO:0043198]	18.26
Sterol	glutamatergic synapse [GO:0098978]	18.26
Sterol	postsynaptic membrane [GO:0045211]	18.26
Sterol	synapse [GO:0045202]	18.26
Sterol	AMPA glutamate receptor complex [GO:0032281]	18.26
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	-1.0
Sterol	respiratory chain complex IV [GO:0045277]	-1.0
Sterol	mitochondrion [GO:0005739]	-1.0
Sterol	mitochondrial respirasome [GO:0005746]	-1.0
Sterol	apical plasma membrane [GO:0016324]	9.29
Sterol	extracellular exosome [GO:0070062]	9.29
Sterol	brush border membrane [GO:0031526]	9.29
Sterol	gamma-delta T cell receptor complex [GO:0042106]	16.82
Sterol	Fc-gamma receptor III complex [GO:0033001]	16.82
Sterol	Golgi apparatus [GO:0005794]	16.82
Sterol	T cell receptor complex [GO:0042101]	16.82
Sterol	alpha-beta T cell receptor complex [GO:0042105]	16.82
Sterol	plasma membrane [GO:0005886]	16.82
Sterol	cytoplasm [GO:0005737]	16.82
