class	GO_CC	as_max_dst
Polyketide	pericentriolar material [GO:0000242]	14.08
Polyketide	Golgi membrane [GO:0000139]	14.08
Polyketide	chromosome, telomeric region [GO:0000781]	14.08
Polyketide	nucleus [GO:0005634]	14.08
Polyketide	cytoplasm [GO:0005737]	14.08
Polyketide	melanosome [GO:0042470]	13.56
Polyketide	perinuclear region of cytoplasm [GO:0048471]	13.56
Polyketide	sarcoplasmic reticulum lumen [GO:0033018]	13.56
Polyketide	endoplasmic reticulum [GO:0005783]	13.56
Polyketide	cytoplasm [GO:0005737]	15.09
Polyketide	chromosome [GO:0005694]	11.61
Polyketide	condensed nuclear chromosome [GO:0000794]	11.61
Polyketide	nucleus [GO:0005634]	11.61
Polyketide	nucleoplasm [GO:0005654]	11.61
Polyketide	protein-containing complex [GO:0032991]	18.84
Polyketide	endocytic vesicle membrane [GO:0030666]	18.84
Polyketide	cytosol [GO:0005829]	18.84
Polyketide	transcription repressor complex [GO:0017053]	18.84
Polyketide	nucleoplasm [GO:0005654]	18.84
Polyketide	plasma membrane [GO:0005886]	18.84
Polyketide	nucleus [GO:0005634]	18.84
Polyketide	cytoplasm [GO:0005737]	18.84
Polyketide	nucleolus [GO:0005730]	18.84
Polyketide	nuclear chromosome [GO:0000228]	14.82
Polyketide	histone deacetylase complex [GO:0000118]	14.82
Polyketide	cytoplasm [GO:0005737]	14.82
Polyketide	nucleoplasm [GO:0005654]	14.82
Polyketide	nucleus [GO:0005634]	14.82
Polyketide	nucleus [GO:0005634]	15.09
Polyketide	protein-containing complex [GO:0032991]	14.57
Polyketide	cytosol [GO:0005829]	14.57
Polyketide	nucleoplasm [GO:0005654]	14.57
Polyketide	membrane [GO:0016020]	14.57
Polyketide	plasma membrane [GO:0005886]	14.57
Polyketide	euchromatin [GO:0000791]	14.57
Polyketide	chromatin [GO:0000785]	14.57
Polyketide	transcription regulator complex [GO:0005667]	14.57
Polyketide	nucleus [GO:0005634]	14.57
Polyketide	cytoplasm [GO:0005737]	14.57
Polyketide	Golgi apparatus [GO:0005794]	14.57
Polyketide	cell body [GO:0044297]	12.6
Polyketide	actin filament [GO:0005884]	12.6
Polyketide	skeletal muscle myofibril [GO:0098723]	12.6
Polyketide	stress fiber [GO:0001725]	12.6
Polyketide	filamentous actin [GO:0031941]	12.6
Polyketide	actin filament bundle [GO:0032432]	12.6
Polyketide	lamellipodium [GO:0030027]	12.6
Polyketide	striated muscle thin filament [GO:0005865]	12.6
Polyketide	cytoplasm [GO:0005737]	12.6
Polyketide	filopodium [GO:0030175]	12.6
Polyketide	protein-containing complex [GO:0032991]	14.57
Polyketide	cytosol [GO:0005829]	14.57
Polyketide	nucleoplasm [GO:0005654]	14.57
Polyketide	membrane [GO:0016020]	14.57
Polyketide	plasma membrane [GO:0005886]	14.57
Polyketide	euchromatin [GO:0000791]	14.57
Polyketide	chromatin [GO:0000785]	14.57
Polyketide	transcription regulator complex [GO:0005667]	14.57
Polyketide	nucleus [GO:0005634]	14.57
Polyketide	cytoplasm [GO:0005737]	14.57
Polyketide	Golgi apparatus [GO:0005794]	14.57
Polyketide	plasma membrane [GO:0005886]	7.6
Polyketide	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	7.6
Polyketide	extracellular exosome [GO:0070062]	12.91
Polyketide	cytosol [GO:0005829]	12.91
Polyketide	transporter complex [GO:1990351]	16.49
Polyketide	plasma membrane [GO:0005886]	16.49
Polyketide	membrane [GO:0016020]	16.49
Polyketide	ATP-binding cassette (ABC) transporter complex [GO:0043190]	16.49
Polyketide	cytoplasm [GO:0005737]	16.49
Polyketide	cytosol [GO:0005829]	10.03
Polyketide	mitochondrion [GO:0005739]	10.03
Polyketide	mitochondrial intermembrane space [GO:0005758]	10.03
Polyketide	mitochondrial matrix [GO:0005759]	10.03
Polyketide	nucleus [GO:0005634]	10.03
Polyketide	collagen-containing extracellular matrix [GO:0062023]	12.43
Polyketide	cytoplasmic stress granule [GO:0010494]	12.43
Polyketide	lysosome [GO:0005764]	12.43
Polyketide	azurophil granule lumen [GO:0035578]	12.43
Polyketide	cytosol [GO:0005829]	12.43
Polyketide	extracellular exosome [GO:0070062]	12.43
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	12.43
Polyketide	plasma membrane [GO:0005886]	12.43
Polyketide	membrane [GO:0016020]	12.43
Polyketide	extracellular region [GO:0005576]	12.43
Polyketide	extracellular space [GO:0005615]	12.43
