class	GO_CC	as_max_dst
Fatty Acyl	cytoplasm [GO:0005737]	17.51
Fatty Acyl	Golgi apparatus [GO:0005794]	17.51
Fatty Acyl	polycystin complex [GO:0002133]	17.51
Fatty Acyl	cilium [GO:0005929]	17.51
Fatty Acyl	basal cortex [GO:0045180]	17.51
Fatty Acyl	mitotic spindle [GO:0072686]	17.51
Fatty Acyl	cation channel complex [GO:0034703]	17.51
Fatty Acyl	endoplasmic reticulum [GO:0005783]	17.51
Fatty Acyl	extracellular region [GO:0005576]	8.62
Fatty Acyl	chloride channel complex [GO:0034707]	8.13
Fatty Acyl	postsynaptic membrane [GO:0045211]	8.13
Fatty Acyl	plasma membrane [GO:0005886]	8.13
Fatty Acyl	presynaptic membrane [GO:0042734]	8.13
Fatty Acyl	GABA-A receptor complex [GO:1902711]	8.13
Fatty Acyl	GABA-ergic synapse [GO:0098982]	8.13
Fatty Acyl	glutamatergic synapse [GO:0098978]	8.13
Fatty Acyl	neuron projection [GO:0043005]	8.13
Fatty Acyl	synapse [GO:0045202]	8.13
Fatty Acyl	transmembrane transporter complex [GO:1902495]	8.13
Fatty Acyl	mitochondrion [GO:0005739]	1.23
Fatty Acyl	cytoplasm [GO:0005737]	1.23
Fatty Acyl	apical plasma membrane [GO:0016324]	13.95
Fatty Acyl	astrocyte projection [GO:0097449]	13.95
Fatty Acyl	cell surface [GO:0009986]	13.95
Fatty Acyl	plasma membrane [GO:0005886]	13.95
Fatty Acyl	voltage-gated potassium channel complex [GO:0008076]	13.95
Fatty Acyl	calyx of Held [GO:0044305]	13.95
Fatty Acyl	neuronal cell body [GO:0043025]	13.95
Fatty Acyl	axon [GO:0030424]	13.95
Fatty Acyl	axon terminus [GO:0043679]	13.95
Fatty Acyl	endoplasmic reticulum [GO:0005783]	13.95
Fatty Acyl	nucleus [GO:0005634]	20.71
Fatty Acyl	cytosol [GO:0005829]	20.71
Fatty Acyl	NatA complex [GO:0031415]	20.71
Fatty Acyl	nucleus [GO:0005634]	7.14
Fatty Acyl	rough endoplasmic reticulum [GO:0005791]	7.14
Fatty Acyl	cytosol [GO:0005829]	17.84
Fatty Acyl	membrane [GO:0016020]	-1.0
Fatty Acyl	cell-cell junction [GO:0005911]	-1.0
Fatty Acyl	photoreceptor disc membrane [GO:0097381]	-1.0
Fatty Acyl	G protein-coupled receptor complex [GO:0097648]	-1.0
Fatty Acyl	plasma membrane [GO:0005886]	-1.0
Fatty Acyl	sperm midpiece [GO:0097225]	-1.0
Fatty Acyl	photoreceptor inner segment membrane [GO:0060342]	-1.0
Fatty Acyl	photoreceptor outer segment [GO:0001750]	-1.0
Fatty Acyl	photoreceptor outer segment membrane [GO:0042622]	-1.0
Fatty Acyl	Golgi membrane [GO:0000139]	-1.0
Fatty Acyl	outer membrane [GO:0019867]	-1.0
Fatty Acyl	sperm head plasma membrane [GO:1990913]	-1.0
Fatty Acyl	rod photoreceptor outer segment [GO:0120200]	-1.0
Fatty Acyl	plasma membrane [GO:0005886]	7.11
Fatty Acyl	plasma membrane [GO:0005886]	5.52
Fatty Acyl	efflux pump complex [GO:1990281]	1.71
Fatty Acyl	plasma membrane [GO:0005886]	17.37
Fatty Acyl	extracellular region [GO:0005576]	7.78
Fatty Acyl	plasma membrane [GO:0005886]	9.22
Fatty Acyl	chloroplast [GO:0009507]	13.54
Fatty Acyl	plasma membrane [GO:0005886]	12.13
