class	GO_CC	as_max_dst
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	33.13
Prenol	photosystem II [GO:0009523]	33.13
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	33.13
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	15.29
Prenol	photosystem I [GO:0009522]	15.29
Prenol	proton-transporting V-type ATPase complex [GO:0033176]	13.68
Prenol	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	13.68
Prenol	Golgi membrane [GO:0000139]	13.68
Prenol	membrane [GO:0016020]	13.68
Prenol	vacuolar proton-transporting V-type ATPase complex [GO:0016471]	13.68
Prenol	fungal-type vacuole membrane [GO:0000329]	13.68
Prenol	plasma membrane [GO:0005886]	7.41
Prenol	organelle inner membrane [GO:0019866]	7.41
Prenol	plasma membrane light-harvesting complex [GO:0030077]	7.41
Prenol	photosystem II [GO:0009523]	20.44
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	20.44
Prenol	succinate dehydrogenase complex [GO:0045281]	15.7
Prenol	mitochondrial inner membrane [GO:0005743]	15.7
Prenol	membrane [GO:0016020]	34.92
Prenol	plastid [GO:0009536]	34.92
Prenol	light-harvesting complex [GO:0030076]	34.92
Prenol	membrane [GO:0016020]	23.28
Prenol	endoplasmic reticulum membrane [GO:0005789]	23.28
Prenol	oligosaccharyltransferase complex [GO:0008250]	23.28
Prenol	oligosaccharyltransferase III complex [GO:0035000]	23.28
Prenol	late endosome [GO:0005770]	15.36
Prenol	cytoplasm [GO:0005737]	15.36
Prenol	photosystem II [GO:0009523]	8.55
Prenol	chloroplast thylakoid membrane [GO:0009535]	8.55
Prenol	photosystem II [GO:0009523]	8.55
Prenol	chloroplast thylakoid membrane [GO:0009535]	8.55
Prenol	photosystem II [GO:0009523]	28.35
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	28.35
Prenol	photosystem II [GO:0009523]	28.35
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	28.35
Prenol	membrane [GO:0016020]	30.4
Prenol	light-harvesting complex [GO:0030076]	30.4
Prenol	plastid [GO:0009536]	30.4
Prenol	plasma membrane [GO:0005886]	21.19
Prenol	plasma membrane light-harvesting complex [GO:0030077]	21.19
Prenol	photosystem II [GO:0009523]	31.9
Prenol	chloroplast thylakoid membrane [GO:0009535]	31.9
Prenol	photosystem I [GO:0009522]	31.9
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	15.44
Prenol	photosystem I [GO:0009522]	15.44
Prenol	photosystem II [GO:0009523]	29.46
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	29.46
Prenol	photosystem II [GO:0009523]	29.46
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	29.46
Prenol	chloroplast thylakoid membrane [GO:0009535]	-1.0
Prenol	photosystem I [GO:0009522]	-1.0
Prenol	mitochondrial respiratory chain complex III [GO:0005750]	17.05
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	15.86
Prenol	plasma membrane light-harvesting complex [GO:0030077]	15.86
Prenol	protein farnesyltransferase complex [GO:0005965]	8.12
Prenol	microtubule associated complex [GO:0005875]	8.12
Prenol	cytoplasm [GO:0005737]	8.12
Prenol	CAAX-protein geranylgeranyltransferase complex [GO:0005953]	8.12
Prenol	photosystem II [GO:0009523]	18.86
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	18.86
Prenol	photosystem II [GO:0009523]	18.86
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	18.86
Prenol	photosystem II [GO:0009523]	25.01
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	25.01
Prenol	photosystem II [GO:0009523]	25.01
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	25.01
Prenol	photosystem I [GO:0009522]	11.31
Prenol	plasma membrane [GO:0005886]	7.43
Prenol	organelle inner membrane [GO:0019866]	7.43
Prenol	plasma membrane light-harvesting complex [GO:0030077]	7.43
Prenol	photosystem II [GO:0009523]	27.72
Prenol	chloroplast thylakoid membrane [GO:0009535]	27.72
Prenol	photosystem I [GO:0009522]	27.72
Prenol	plasma membrane [GO:0005886]	9.87
Prenol	plasma membrane light-harvesting complex [GO:0030077]	9.87
Prenol	plasma membrane light-harvesting complex [GO:0030077]	9.66
Prenol	photosystem II reaction center [GO:0009539]	16.06
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	16.06
Prenol	membrane [GO:0016020]	14.49
Prenol	cytosol [GO:0005829]	14.49
Prenol	plasma membrane fumarate reductase complex [GO:0045284]	14.49
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	8.84
Prenol	plasma membrane-derived photosystem I [GO:0030094]	8.84
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	8.84
Prenol	plasma membrane-derived photosystem I [GO:0030094]	8.84
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	-1.0
Prenol	photosystem I [GO:0009522]	-1.0
Prenol	plasma membrane [GO:0005886]	23.21
Prenol	photosystem II [GO:0009523]	22.82
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	22.82
Prenol	nucleoplasm [GO:0005654]	17.5
Prenol	nucleus [GO:0005634]	17.5
Prenol	photosystem I [GO:0009522]	-1.0
Prenol	photosystem I [GO:0009522]	-1.0
Prenol	photosystem II reaction center [GO:0009539]	22.07
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	22.07
Prenol	photosystem II reaction center [GO:0009539]	22.07
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	22.07
Prenol	chloroplast thylakoid membrane [GO:0009535]	20.04
Prenol	photosystem I [GO:0009522]	20.04
Prenol	photosystem II [GO:0009523]	20.04
Prenol	chloroplast thylakoid membrane [GO:0009535]	20.04
Prenol	photosystem I [GO:0009522]	20.04
Prenol	mitochondrial respiratory chain complex III [GO:0005750]	21.26
Prenol	plasma membrane [GO:0005886]	19.46
Prenol	plasma membrane light-harvesting complex [GO:0030077]	19.46
Prenol	sperm head plasma membrane [GO:1990913]	12.42
Prenol	photoreceptor outer segment membrane [GO:0042622]	12.42
Prenol	cell-cell junction [GO:0005911]	12.42
Prenol	Golgi membrane [GO:0000139]	12.42
Prenol	photoreceptor disc membrane [GO:0097381]	12.42
Prenol	plasma membrane [GO:0005886]	12.42
Prenol	membrane [GO:0016020]	12.42
Prenol	photoreceptor outer segment [GO:0001750]	12.42
Prenol	rod photoreceptor outer segment [GO:0120200]	12.42
Prenol	photoreceptor inner segment membrane [GO:0060342]	12.42
Prenol	outer membrane [GO:0019867]	12.42
Prenol	G protein-coupled receptor complex [GO:0097648]	12.42
Prenol	sperm midpiece [GO:0097225]	12.42
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	-1.0
Prenol	photosystem I [GO:0009522]	-1.0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	11.14
Prenol	plasma membrane-derived photosystem I [GO:0030094]	11.14
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	11.14
Prenol	plasma membrane-derived photosystem I [GO:0030094]	11.14
Prenol	photosystem II [GO:0009523]	31.51
Prenol	chloroplast thylakoid membrane [GO:0009535]	31.51
Prenol	photosystem I [GO:0009522]	31.51
Prenol	plasma membrane light-harvesting complex [GO:0030077]	33.83
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	33.83
Prenol	cytosol [GO:0005829]	17.39
Prenol	extracellular exosome [GO:0070062]	17.39
Prenol	nucleoplasm [GO:0005654]	17.39
Prenol	nucleus [GO:0005634]	17.39
Prenol	cytoplasm [GO:0005737]	17.39
Prenol	photosystem II reaction center [GO:0009539]	9.76
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	9.76
Prenol	plasma membrane [GO:0005886]	-1.0
Prenol	organelle inner membrane [GO:0019866]	-1.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	-1.0
Prenol	photosystem II [GO:0009523]	14.1
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	14.1
Prenol	photosystem II [GO:0009523]	14.1
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	14.1
Prenol	plasma membrane [GO:0005886]	-1.0
Prenol	organelle inner membrane [GO:0019866]	-1.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	-1.0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	14.91
