class	ratio
Sterol	1.2372620649875024
Sterol	0.8038544130038872
Sterol	0.8896119761011038
Sterol	0.42239544169199644
Sterol	0.7984816196057539
Sterol	0.2533345491623215
Sterol	0.8700849000949035
Sterol	0.4956871569329379
Sterol	0.76933520003394
Sterol	0.5312233437588854
Sterol	0.5191678891461496
Sterol	0.28477189435106787
Sterol	0.2885293429974281
Sterol	0.6552141914251098
Sterol	0.38624642678218846
Sterol	0.4454836202392936
Sterol	0.5384910798449883
Sterol	0.563200923343272
Sterol	1.918186912396488
Sterol	0.5882130063378341
Sterol	0.963950771148154
Sterol	0.38376201662093606
Sterol	0.327604822746086
Sterol	0.6986404454923995
Sterol	1.7975367161395601
Sterol	0.38584097399669326
Sterol	0.5416369282999943
Sterol	0.30561013987281654
Sterol	1.017019299801512
Sterol	0.31173856370149133
Sterol	0.4864818157379316
Sterol	0.7940537831969267
Sterol	11.171297924727401
Sterol	0.46956841927614723
Sterol	0.6856805740923422
Sterol	0.3894029282098732
Sterol	0.5180583884459278
Sterol	0.3303685006560694
Sterol	0.5472557595791425
Sterol	0.3629670201398928
Sterol	0.4926701743935934
Sterol	0.7595264751005516
Sterol	0.7478972996901284
Sterol	0.4519589082485648
Sterol	0.27977085359981924
Sterol	2.519699019276293
Sterol	0.5573685776476299
Sterol	0.5923655021183284
Sterol	2.1362707381582107
Sterol	0.5539790686240079
Sterol	0.9671198294948994
Sterol	0.481862796596179
Sterol	0.9109862307205762
Sterol	1.0957723193197921
Sterol	0.8769083488688466
Sterol	0.7606791113147046
Sterol	1.0598357135187373
Sterol	0.24155642132406527
Sterol	0.5400944417969934
Sterol	0.6520105308161382
Sterol	3.4947252208047104
Sterol	0.21803582791384907
Sterol	1.5217678723203323
Sterol	0.9009933683718114
Sterol	0.5103216293429177
Sterol	0.46917265467526276
Sterol	0.28374468984872075
Sterol	0.8036166292043821
Sterol	0.9059094275738018
Sterol	1.3234608583828966
Sterol	1.276131494617074
Sterol	0.970719287078294
Sterol	0.5662800621178841
Sterol	0.44119553856127863
Sterol	0.525380916141777
Sterol	0.8437882542620846
Sterol	0.6286097636494994
Sterol	1.0813487584650114
Sterol	0.5756411051185089
Sterol	1.7269656377402447
Sterol	0.5846302214322183
Sterol	1.0018305010655155
Sterol	0.524443678259995
Sterol	0.3498144273701593
Sterol	1.233899902149096
Sterol	2.1833126367453137
Sterol	0.4875614052676052
Sterol	0.7154101690611709
Sterol	0.7414051925679832
Sterol	0.9900884144011006
Sterol	1.127505162152314
Sterol	0.7591678333701766
Sterol	0.4615530016633903
Sterol	1.1979496935108855
Sterol	0.5779835067298835
Sterol	0.5235555411451915
Sterol	0.8536821476636839
Sterol	0.9272420104181333
Sterol	1.6537554177867997
Sterol	0.7816909787497323
