class	pi-stacking_angle
Polyketide	78.96
Polyketide	77.49
Polyketide	64.88
Polyketide	17.9
Polyketide	24.75
Polyketide	26.5
Polyketide	27.34
Polyketide	8.53
Polyketide	7.01
Polyketide	8.15
Polyketide	6.8
Polyketide	80.13
Polyketide	79.55
Polyketide	73.76
Polyketide	72.8
Polyketide	25.06
Polyketide	28.17
Polyketide	69.21
Polyketide	71.22
Polyketide	75.48
Polyketide	86.25
Polyketide	89.35
Polyketide	89.49
Polyketide	89.31
Polyketide	6.14
Polyketide	6.65
Polyketide	6.22
Polyketide	10.18
Polyketide	7.97
Polyketide	7.77
Polyketide	8.57
Polyketide	8.78
Polyketide	8.36
Polyketide	7.37
Polyketide	2.3
Polyketide	4.14
Polyketide	4.23
Polyketide	5.19
Polyketide	6.88
Polyketide	2.35
Polyketide	5.16
Polyketide	3.81
Polyketide	6.0
Polyketide	4.79
Polyketide	9.59
Polyketide	65.17
Polyketide	1.84
Polyketide	60.82
Polyketide	65.17
Polyketide	1.84
Polyketide	60.82
Polyketide	26.75
Polyketide	26.8
Polyketide	75.62
Polyketide	12.91
Polyketide	19.91
Polyketide	14.13
Polyketide	76.7
Polyketide	7.25
Polyketide	5.24
Polyketide	77.09
Polyketide	14.39
Polyketide	16.16
Polyketide	5.64
Polyketide	5.63
Polyketide	13.76
Polyketide	19.18
Polyketide	19.19
Polyketide	14.78
Polyketide	14.53
Polyketide	4.14
Polyketide	87.22
Polyketide	75.07
Polyketide	66.19
Polyketide	16.62
Polyketide	21.26
Polyketide	64.17
Polyketide	79.09
Polyketide	25.82
Polyketide	77.11
Polyketide	86.91
Polyketide	77.71
Polyketide	86.6
Polyketide	87.42
Polyketide	88.62
Polyketide	66.05
Polyketide	66.09
Polyketide	66.64
Polyketide	86.48
Polyketide	86.85
Polyketide	84.03
Polyketide	88.46
Polyketide	21.96
Polyketide	19.3
Polyketide	80.44
Polyketide	13.02
Polyketide	14.33
Polyketide	14.23
Polyketide	6.86
Polyketide	6.91
Polyketide	6.46
Polyketide	27.54
Polyketide	88.3
Polyketide	77.07
Polyketide	64.44
Polyketide	61.76
Polyketide	61.63
Polyketide	1.0
Polyketide	69.2
Polyketide	26.27
Polyketide	1.01
Polyketide	0.98
Polyketide	88.65
Polyketide	29.29
Polyketide	65.5
Polyketide	63.81
Polyketide	11.89
Polyketide	25.78
Polyketide	19.57
Polyketide	7.79
